"Team","R","WAR","wRC+","RE24","wOBA","wRAA","wRC","OBP","SLG","OPS","ISO","OBP+","SLG+","ISO+","BB/K","BB%","K%","GB/FB","LD%","GB%","FB%","HardHit%","CStr%","Barrel%"
"BOS","11660","379.5","105","886.32",".336","1283.1","11804",".339",".438",".777",".170","104","105","107","0.47","9.0%","19.1%","1.15","20.2%","42.7%","37.2%","36.9%","18.3%","6.4%"
"NYY","11476","379.3","107","1045.18",".334","1115.3","11507",".335",".435",".770",".174","103","104","109","0.48","9.3%","19.4%","1.22","20.1%","44.0%","35.9%","36.6%","17.4%","7.0%"
"COL","11044","199.8","90","-246.13",".330","720.4","11067",".331",".433",".763",".167","100","103","105","0.39","8.2%","20.8%","1.28","21.2%","44.3%","34.6%","34.5%","16.5%","5.5%"
"DET","10483","249.5","100","-42.72",".325","404.2","10677",".327",".421",".749",".156","101","101","99","0.40","7.9%","20.0%","1.17","21.3%","42.4%","36.3%","35.8%","16.1%","6.4%"
"TEX","10920","246.0","96","183.93",".325","374.5","10638",".324",".423",".748",".164","100","102","103","0.40","8.0%","20.1%","1.23","20.2%","44.0%","35.8%","35.9%","17.2%","6.5%"
"TOR","10650","270.2","100","137.34",".324","346.9","10586",".321",".426",".747",".173","99","102","109","0.43","8.5%","19.6%","1.11","19.7%","42.2%","38.1%","37.8%","17.4%","7.3%"
"LAD","10411","359.3","102","699.34",".322","189.4","10519",".330",".412",".742",".155","100","98","97","0.46","9.0%","19.5%","1.27","21.0%","44.1%","34.8%","37.5%","17.6%","7.2%"
"MIL","10322","325.3","97","150.78",".322","178.4","10442",".323",".420",".743",".167","98","100","106","0.40","8.5%","21.4%","1.26","19.8%","44.8%","35.4%","35.6%","17.1%","6.4%"
"STL","10393","347.8","100","607.65",".322","168.4","10440",".330",".411",".741",".150","100","98","95","0.45","8.5%","19.0%","1.28","20.8%","44.5%","34.7%","34.9%","16.7%","6.6%"
"CLE","10504","265.0","99","90.78",".322","218.7","10512",".327",".412",".739",".157","101","99","98","0.45","8.9%","19.7%","1.18","20.4%","43.1%","36.5%","36.1%","17.5%","6.0%"
"TBD","10373","351.8","103","266.37",".322","197.0","10500",".325",".413",".739",".162","100","99","102","0.42","9.1%","21.6%","1.17","19.8%","43.2%","36.9%","35.8%","16.6%","6.6%"
"MIN","10575","248.3","98","86.80",".320","84.4","10398",".325",".411",".736",".153","100","98","95","0.44","8.5%","19.4%","1.26","20.2%","44.5%","35.3%","35.8%","18.1%","6.8%"
"LAA","10574","310.6","101","518.16",".320","54.4","10274",".324",".412",".736",".154","100","99","97","0.43","8.1%","18.6%","1.27","19.6%","45.0%","35.4%","33.6%","17.8%","6.0%"
"WSN","10181","271.2","96","172.63",".320","3.8","10262",".326",".410",".735",".154","99","98","97","0.42","8.6%","20.4%","1.32","20.0%","45.4%","34.5%","36.6%","17.5%","6.3%"
"CHC","10212","294.8","95","31.71",".319","-15.6","10280",".324",".411",".734",".159","98","98","100","0.40","8.6%","21.4%","1.24","20.3%","44.2%","35.5%","35.1%","16.8%","6.6%"
"HOU","10170","273.1","99","136.17",".319","-17.8","10194",".321",".413",".734",".158","99","99","98","0.41","8.1%","19.9%","1.23","20.0%","44.1%","35.9%","35.9%","16.9%","6.2%"
"ATL","10203","298.9","95","217.53",".318","-104.3","10231",".326",".405",".731",".149","99","97","94","0.44","8.8%","20.1%","1.29","20.9%","44.6%","34.5%","34.0%","16.0%","5.9%"
"BAL","10129","208.3","96","-454.91",".318","-66.3","10125",".316",".417",".733",".161","97","100","102","0.37","7.4%","20.0%","1.18","19.5%","43.6%","36.9%","35.6%","16.6%","6.7%"
"CIN","10068","274.9","93","-185.14",".318","-142.5","10144",".322",".410",".731",".158","98","98","100","0.41","8.5%","20.5%","1.20","20.9%","43.2%","35.9%","30.7%","16.4%","5.5%"
"ARI","10256","258.3","91","-228.87",".318","-150.7","10156",".321",".412",".732",".160","97","98","101","0.40","8.6%","21.3%","1.23","20.4%","44.0%","35.6%","34.6%","17.6%","5.8%"
"CHW","9998","186.7","95","-536.32",".317","-181.4","9971",".318",".409",".727",".155","98","98","97","0.37","7.6%","20.4%","1.27","20.0%","44.7%","35.3%","34.9%","16.8%","5.9%"
"PHI","10204","270.2","93","149.39",".316","-245.5","10056",".320",".408",".728",".157","97","97","99","0.41","8.4%","20.3%","1.24","20.4%","44.1%","35.5%","34.2%","17.5%","5.7%"
"OAK","10283","263.8","99","210.02",".316","-224.5","10049",".320",".403",".723",".155","99","97","97","0.45","8.9%","19.8%","1.04","20.3%","40.6%","39.1%","35.9%","17.9%","6.8%"
"NYM","9889","284.7","97","228.27",".315","-317.7","9963",".322",".402",".724",".150","98","96","94","0.43","8.6%","19.7%","1.21","20.8%","43.4%","35.8%","34.9%","17.4%","5.9%"
"KCR","9690","185.5","91","-883.17",".311","-569.1","9572",".316",".398",".714",".138","98","96","86","0.38","6.9%","18.3%","1.31","20.5%","45.1%","34.4%","33.8%","16.6%","5.5%"
"PIT","9502","189.0","91","-417.85",".309","-743.3","9448",".316",".393",".710",".142","96","94","90","0.39","7.9%","20.3%","1.31","20.3%","45.2%","34.4%","33.6%","17.3%","5.0%"
"FLA","9484","214.2","91","-394.18",".309","-748.1","9462",".317",".393",".709",".141","96","94","89","0.36","7.8%","21.5%","1.38","20.2%","46.3%","33.5%","33.6%","17.6%","5.1%"
"SFG","9526","274.8","92","-263.68",".308","-825.8","9400",".316",".392",".709",".138","96","94","87","0.40","7.8%","19.3%","1.31","20.2%","45.2%","34.6%","33.3%","16.3%","5.4%"
"SEA","9472","189.1","94","-494.40",".307","-810.3","9336",".311",".394",".705",".146","96","94","91","0.38","7.7%","20.4%","1.23","19.7%","44.4%","35.9%","35.8%","17.1%","6.5%"
"SDP","9263","220.5","90","-373.57",".303","-1156.2","8978",".310",".385",".695",".144","94","92","90","0.38","8.3%","22.0%","1.29","19.8%","45.2%","35.0%","34.4%","17.1%","5.8%"
