Column1,Column2,Column3,Column4
Seattle Mariners,9,Los Angeles Angels,5
,,,
Los Angeles Dodgers,2,Atlanta Braves,4
,,,
Cleveland Indians,5,Baltimore Orioles,18
,,,
Detroit Tigers,0,Chicago White Sox,3
,,,
Oakland Athletics,1,Colorado Rockies,3
,,,
Minnesota Twins,2,Kansas City Royals,1
,,,
Arizona Diamondbacks,0,Milwaukee Brewers,2
,,,
Boston Red Sox,6,New York Yankees,5
,,,
Washington Nationals,6,Philadelphia Phillies,12
,,,
Miami Marlins,3,Pittsburgh Pirates,1
,,,
New York Mets,6,San Diego Padres,2
,,,
Chicago Cubs,4,San Francisco Giants,3
,,,
Cincinnati Reds,8,St. Louis Cardinals,7
,,,
Tampa Bay Rays,7,Texas Rangers,1
,,,
Houston Astros,6,Toronto Blue Jays,3
,,,
» 2021-06-06 Standings & Scores,,,
,,,
"Monday, June 7, 2021",,,
,,,
Kansas City Royals,3,Los Angeles Angels,8
,,,
Miami Marlins,3,Boston Red Sox,5
,,,
Chicago Cubs,4,San Diego Padres,9
,,,
» 2021-06-07 Standings & Scores,,,
,,,
"Tuesday, June 8, 2021",,,
,,,
Kansas City Royals,1,Los Angeles Angels,8
,,,
New York Mets,3,Baltimore Orioles,10
,,,
Houston Astros,7,Boston Red Sox,1
,,,
Toronto Blue Jays,1,@ Chicago White Sox,6
,,,
Milwaukee Brewers,5,Cincinnati Reds,1
,,,
Seattle Mariners,3,Detroit Tigers,5
,,,
Colorado Rockies,2,Miami Marlins,6
,,,
New York Yankees,8,Minnesota Twins,4
,,,
Arizona Diamondbacks,2,Oakland Athletics,5
,,,
Atlanta Braves,9,Philadelphia Phillies,5
,,,
Los Angeles Dodgers,5,Pittsburgh Pirates,3
,,,
Chicago Cubs,7,San Diego Padres,1
,,,
Cleveland Indians,10,St. Louis Cardinals,1
,,,
Washington Nationals,1,Tampa Bay Rays,3
,,,
San Francisco Giants,9,Texas Rangers,4
,,,
» 2021-06-08 Standings & Scores,,,
,,,
"Wednesday, June 9, 2021",,,
,,,
Kansas City Royals,1,Los Angeles Angels,6
,,,
New York Mets,14,Baltimore Orioles,1
,,,
Houston Astros,8,Boston Red Sox,3
,,,
Toronto Blue Jays,6,@ Chicago White Sox,2
,,,
Milwaukee Brewers,3,Cincinnati Reds,7
,,,
Seattle Mariners,9,Detroit Tigers,6
,,,
Colorado Rockies,4,Miami Marlins,3
,,,
New York Yankees,9,Minnesota Twins,6
,,,
Arizona Diamondbacks,0,Oakland Athletics,4
,,,
Atlanta Braves,1,Philadelphia Phillies,2
,,,
Los Angeles Dodgers,2,Pittsburgh Pirates,1
,,,
Chicago Cubs,3,San Diego Padres,1
,,,
Cleveland Indians,2,St. Louis Cardinals,8
,,,
Washington Nationals,9,Tampa Bay Rays,7
,,,
San Francisco Giants,3,Texas Rangers,4
,,,
» 2021-06-09 Standings & Scores,,,
,,,
"Thursday, June 10, 2021",,,
,,,
Houston Astros,8,Boston Red Sox,12
,,,
Toronto Blue Jays,2,@ Chicago White Sox,5
,,,
Milwaukee Brewers,7,Cincinnati Reds,2
,,,
Seattle Mariners,3,Detroit Tigers,8
,,,
Colorado Rockies,4,Miami Marlins,11
,,,
New York Yankees,5,Minnesota Twins,7
,,,
Kansas City Royals,6,Oakland Athletics,1
,,,
Atlanta Braves,3,Philadelphia Phillies,4
,,,
Los Angeles Dodgers,6,Pittsburgh Pirates,3
,,,
» 2021-06-10 Standings & Scores,,,
,,,
"Friday, June 11, 2021",,,
,,,
Los Angeles Angels,6,Arizona Diamondbacks,5
,,,
Toronto Blue Jays,5,@ Boston Red Sox,6
,,,
St. Louis Cardinals,5,Chicago Cubs,8
,,,
Colorado Rockies,5,Cincinnati Reds,11
,,,
Seattle Mariners,0,Cleveland Indians,7
,,,
Chicago White Sox,5,Detroit Tigers,4
,,,
Texas Rangers,1,Los Angeles Dodgers,12
,,,
Atlanta Braves,3,Miami Marlins,4
,,,
Pittsburgh Pirates,4,Milwaukee Brewers,7
,,,
Houston Astros,6,Minnesota Twins,4
,,,
San Diego Padres,2,New York Mets,3
,,,
Kansas City Royals,3,Oakland Athletics,4
,,,
Baltimore Orioles,2,Tampa Bay Rays,4
,,,
San Francisco Giants,1,Washington Nationals,0
,,,
» 2021-06-11 Standings & Scores,,,
,,,
"Saturday, June 12, 2021",,,
,,,
Los Angeles Angels,8,Arizona Diamondbacks,7
,,,
Toronto Blue Jays,7,@ Boston Red Sox,2
,,,
St. Louis Cardinals,2,Chicago Cubs,7
,,,
Colorado Rockies,3,Cincinnati Reds,10
,,,
Seattle Mariners,4,Cleveland Indians,5
,,,
Chicago White Sox,15,Detroit Tigers,2
,,,
Texas Rangers,12,Los Angeles Dodgers,1
,,,
Atlanta Braves,2,Miami Marlins,4
,,,
Pittsburgh Pirates,4,Milwaukee Brewers,7
,,,
Houston Astros,2,Minnesota Twins,5
,,,
San Diego Padres,1,New York Mets,4
,,,
Kansas City Royals,2,Oakland Athletics,11
,,,
New York Yankees,7,Philadelphia Phillies,8
,,,
Baltimore Orioles,4,Tampa Bay Rays,5
,,,
San Francisco Giants,0,Washington Nationals,2
,,,
San Francisco Giants,2,Washington Nationals,1
,,,
» 2021-06-12 Standings & Scores,,,
,,,
"Sunday, June 13, 2021",,,
,,,
Los Angeles Angels,10,Arizona Diamondbacks,3
,,,
Toronto Blue Jays,18,@ Boston Red Sox,4
,,,
St. Louis Cardinals,0,Chicago Cubs,2
,,,
Colorado Rockies,2,Cincinnati Reds,6
,,,
Seattle Mariners,6,Cleveland Indians,2
,,,
Chicago White Sox,4,Detroit Tigers,1
,,,
Texas Rangers,3,Los Angeles Dodgers,5
,,,
Atlanta Braves,6,Miami Marlins,4
,,,
Pittsburgh Pirates,2,Milwaukee Brewers,5
,,,
Houston Astros,14,Minnesota Twins,3
,,,
San Diego Padres,7,New York Mets,3
,,,
Kansas City Royals,3,Oakland Athletics,6
,,,
New York Yankees,0,Philadelphia Phillies,7
,,,
Baltimore Orioles,1,Tampa Bay Rays,7
,,,
San Francisco Giants,0,Washington Nationals,5
,,,
» 2021-06-13 Standings & Scores,,,
,,,
"Monday, June 14, 2021",,,
,,,
Toronto Blue Jays,1,@ Boston Red Sox,2
,,,
Tampa Bay Rays,5,Chicago White Sox,2
,,,
Baltimore Orioles,3,Cleveland Indians,4
,,,
San Diego Padres,2,Colorado Rockies,3
,,,
Detroit Tigers,10,Kansas City Royals,3
,,,
Philadelphia Phillies,1,Los Angeles Dodgers,3
,,,
Cincinnati Reds,10,Milwaukee Brewers,2
,,,
Chicago Cubs,2,New York Mets,5
,,,
Los Angeles Angels,5,Oakland Athletics,8
,,,
Minnesota Twins,3,Seattle Mariners,4
,,,
Arizona Diamondbacks,2,San Francisco Giants,5
,,,
Miami Marlins,2,St. Louis Cardinals,4
,,,
Pittsburgh Pirates,2,Washington Nationals,3
,,,
» 2021-06-14 Standings & Scores,,,
,,,
"Tuesday, June 15, 2021",,,
,,,
Boston Red Sox,10,Atlanta Braves,8
,,,
Tampa Bay Rays,0,Chicago White Sox,3
,,,
Baltimore Orioles,2,Cleveland Indians,7
,,,
San Diego Padres,4,Colorado Rockies,8
,,,
Texas Rangers,3,Houston Astros,6
,,,
Detroit Tigers,4,Kansas City Royals,3
,,,
Philadelphia Phillies,3,Los Angeles Dodgers,5
,,,
Cincinnati Reds,2,Milwaukee Brewers,1
,,,
Chicago Cubs,2,New York Mets,3
,,,
Los Angeles Angels,4,Oakland Athletics,6
,,,
Minnesota Twins,0,Seattle Mariners,10
,,,
Arizona Diamondbacks,8,San Francisco Giants,9
,,,
Miami Marlins,1,St. Louis Cardinals,2
,,,
New York Yankees,6,Toronto Blue Jays,5
,,,
Pittsburgh Pirates,1,Washington Nationals,8
,,,
» 2021-06-15 Standings & Scores,,,
,,,
"Wednesday, June 16, 2021",,,
,,,
Boston Red Sox,10,Atlanta Braves,8
,,,
Tampa Bay Rays,7,Chicago White Sox,8
,,,
Baltimore Orioles,7,Cleveland Indians,8
,,,
San Diego Padres,7,Colorado Rockies,8
,,,
Texas Rangers,4,Houston Astros,8
,,,
Detroit Tigers,6,Kansas City Royals,5
,,,
Philadelphia Phillies,2,Los Angeles Dodgers,0
,,,
Cincinnati Reds,2,Milwaukee Brewers,1
,,,
Chicago Cubs,3,New York Mets,6
,,,
Los Angeles Angels,4,Oakland Athletics,8
,,,
Minnesota Twins,7,Seattle Mariners,2
,,,
Arizona Diamondbacks,7,San Francisco Giants,13
,,,
Miami Marlins,0,St. Louis Cardinals,1
,,,
New York Yankees,3,Toronto Blue Jays,2
,,,
Pittsburgh Pirates,1,Washington Nationals,3
,,,
» 2021-06-16 Standings & Scores,,,
,,,
"Thursday, June 17, 2021",,,
,,,
Detroit Tigers,5,Los Angeles Angels,7
,,,
St. Louis Cardinals,0,Atlanta Braves,4
,,,
Baltimore Orioles,3,Cleveland Indians,10
,,,
Milwaukee Brewers,3,Colorado Rockies,7
,,,
Chicago White Sox,2,Houston Astros,10
,,,
Chicago Cubs,2,New York Mets,0
,,,
Cincinnati Reds,4,San Diego Padres,6
,,,
Tampa Bay Rays,5,Seattle Mariners,6
,,,
Arizona Diamondbacks,3,San Francisco Giants,10
,,,
New York Yankees,8,Toronto Blue Jays,4
,,,
» 2021-06-17 Standings & Scores,,,
,,,
"Friday, June 18, 2021",,,
,,,
Detroit Tigers,3,Los Angeles Angels,11
,,,
Los Angeles Dodgers,3,Arizona Diamondbacks,0
,,,
St. Louis Cardinals,1,Atlanta Braves,9
,,,
Toronto Blue Jays,1,@ Baltimore Orioles,7
,,,
Miami Marlins,10,Chicago Cubs,2
,,,
Milwaukee Brewers,5,Colorado Rockies,6
,,,
Chicago White Sox,1,Houston Astros,2
,,,
Boston Red Sox,3,Kansas City Royals,5
,,,
Oakland Athletics,5,New York Yankees,3
,,,
Cleveland Indians,10,Pittsburgh Pirates,11
,,,
Cincinnati Reds,2,San Diego Padres,8
,,,
Tampa Bay Rays,1,Seattle Mariners,5
,,,
Philadelphia Phillies,3,San Francisco Giants,5
,,,
Minnesota Twins,7,Texas Rangers,5
,,,
New York Mets,0,Washington Nationals,1
,,,
» 2021-06-18 Standings & Scores,,,
,,,
"Saturday, June 19, 2021",,,
,,,
Detroit Tigers,3,Los Angeles Angels,8
,,,
Los Angeles Dodgers,9,Arizona Diamondbacks,3
,,,
Toronto Blue Jays,10,@ Baltimore Orioles,7
,,,
Miami Marlins,11,Chicago Cubs,1
,,,
Milwaukee Brewers,6,Colorado Rockies,5
,,,
Chicago White Sox,3,Houston Astros,7
,,,
Boston Red Sox,7,Kansas City Royals,1
,,,
Oakland Athletics,5,New York Yankees,7
,,,
Cleveland Indians,3,Pittsburgh Pirates,6
,,,
Cincinnati Reds,5,San Diego Padres,7
,,,
Tampa Bay Rays,5,Seattle Mariners,6
,,,
Philadelphia Phillies,13,San Francisco Giants,6
,,,
Minnesota Twins,3,Texas Rangers,2
,,,
New York Mets,5,Washington Nationals,1
,,,
New York Mets,2,Washington Nationals,6
,,,
» 2021-06-19 Standings & Scores,,,
,,,
"Sunday, June 20, 2021",,,
,,,
Detroit Tigers,5,Los Angeles Angels,3
,,,
Los Angeles Dodgers,9,Arizona Diamondbacks,8
,,,
St. Louis Cardinals,9,Atlanta Braves,1
,,,
St. Louis Cardinals,0,Atlanta Braves,1
,,,
Toronto Blue Jays,7,@ Baltimore Orioles,4
,,,
Miami Marlins,0,Chicago Cubs,2
,,,
Milwaukee Brewers,7,Colorado Rockies,6
,,,
Chicago White Sox,2,Houston Astros,8
,,,
Boston Red Sox,3,Kansas City Royals,7
,,,
Oakland Athletics,1,New York Yankees,2
,,,
Cleveland Indians,2,Pittsburgh Pirates,1
,,,
Cincinnati Reds,2,San Diego Padres,3
,,,
Tampa Bay Rays,2,Seattle Mariners,6
,,,
Philadelphia Phillies,2,San Francisco Giants,11
,,,
Minnesota Twins,4,Texas Rangers,2
,,,
New York Mets,2,Washington Nationals,5
,,,
» 2021-06-20 Standings & Scores,,,
,,,
"Monday, June 21, 2021",,,
,,,
Milwaukee Brewers,1,Arizona Diamondbacks,5
,,,
Houston Astros,10,Baltimore Orioles,2
,,,
Cleveland Indians,4,Chicago Cubs,0
,,,
Cincinnati Reds,5,Minnesota Twins,7
,,,
Atlanta Braves,2,New York Mets,4
,,,
Atlanta Braves,1,New York Mets,0
,,,
Los Angeles Dodgers,2,San Diego Padres,6
,,,
Oakland Athletics,3,Texas Rangers,8
,,,
» 2021-06-21 Standings & Scores,,,
,,,
"Tuesday, June 22, 2021",,,
,,,
San Francisco Giants,5,Los Angeles Angels,0
,,,
Milwaukee Brewers,5,Arizona Diamondbacks,0
,,,
Houston Astros,3,Baltimore Orioles,1
,,,
Cleveland Indians,1,Chicago Cubs,7
,,,
St. Louis Cardinals,2,Detroit Tigers,8
,,,
Toronto Blue Jays,2,@ Miami Marlins,1
,,,
Cincinnati Reds,10,Minnesota Twins,7
,,,
Kansas City Royals,6,New York Yankees,5
,,,
Atlanta Braves,3,New York Mets,0
,,,
Washington Nationals,3,Philadelphia Phillies,2
,,,
Chicago White Sox,3,Pittsburgh Pirates,6
,,,
Los Angeles Dodgers,2,San Diego Padres,3
,,,
Colorado Rockies,1,Seattle Mariners,2
,,,
Boston Red Sox,9,Tampa Bay Rays,5
,,,
Oakland Athletics,13,Texas Rangers,6
,,,
» 2021-06-22 Standings & Scores,,,
,,,
"Wednesday, June 23, 2021",,,
,,,
San Francisco Giants,9,Los Angeles Angels,3
,,,
Milwaukee Brewers,3,Arizona Diamondbacks,2
,,,
Houston Astros,13,Baltimore Orioles,0
,,,
St. Louis Cardinals,2,Detroit Tigers,6
,,,
Toronto Blue Jays,3,@ Miami Marlins,1
,,,
Kansas City Royals,5,New York Yankees,6
,,,
Atlanta Braves,3,New York Mets,7
,,,
Washington Nationals,13,Philadelphia Phillies,12
,,,
Chicago White Sox,4,Pittsburgh Pirates,3
,,,
Los Angeles Dodgers,3,San Diego Padres,5
,,,
Colorado Rockies,5,Seattle Mariners,2
,,,
Boston Red Sox,2,Tampa Bay Rays,8
,,,
Oakland Athletics,3,Texas Rangers,5
,,,
» 2021-06-23 Standings & Scores,,,
,,,
"Thursday, June 24, 2021",,,
,,,
Atlanta Braves,3,Cincinnati Reds,5
,,,
Houston Astros,12,Detroit Tigers,3
,,,
Chicago Cubs,4,Los Angeles Dodgers,0
,,,
Washington Nationals,7,Miami Marlins,3
,,,
Cleveland Indians,4,Minnesota Twins,1
,,,
Kansas City Royals,1,New York Yankees,8
,,,
Pittsburgh Pirates,8,St. Louis Cardinals,2
,,,
Boston Red Sox,0,Tampa Bay Rays,1
,,,
Oakland Athletics,5,Texas Rangers,1
,,,
Baltimore Orioles,0,Toronto Blue Jays,9
,,,
» 2021-06-24 Standings & Scores,,,
,,,
"Friday, June 25, 2021",,,
,,,
New York Yankees,3,Boston Red Sox,5
,,,
Seattle Mariners,9,Chicago White Sox,3
,,,
Atlanta Braves,3,Cincinnati Reds,2
,,,
Chicago Cubs,2,Los Angeles Dodgers,6
,,,
Washington Nationals,2,Miami Marlins,11
,,,
Colorado Rockies,4,Milwaukee Brewers,5
,,,
Cleveland Indians,7,Minnesota Twins,8
,,,
Philadelphia Phillies,1,New York Mets,2
,,,
Philadelphia Phillies,2,New York Mets,1
,,,
Arizona Diamondbacks,5,San Diego Padres,11
,,,
Oakland Athletics,0,San Francisco Giants,2
,,,
Pittsburgh Pirates,5,St. Louis Cardinals,4
,,,
Los Angeles Angels,3,Tampa Bay Rays,4
,,,
Kansas City Royals,4,Texas Rangers,9
,,,
Baltimore Orioles,6,Toronto Blue Jays,5
,,,
» 2021-06-25 Standings & Scores,,,
,,,
"Saturday, June 26, 2021",,,
,,,
New York Yankees,2,Boston Red Sox,4
,,,
Seattle Mariners,3,Chicago White Sox,2
,,,
Atlanta Braves,1,Cincinnati Reds,4
,,,
Houston Astros,1,Detroit Tigers,3
,,,
Houston Astros,3,Detroit Tigers,2
,,,
Chicago Cubs,2,Los Angeles Dodgers,3
,,,
Washington Nationals,2,Miami Marlins,3
,,,
Colorado Rockies,4,Milwaukee Brewers,10
,,,
Philadelphia Phillies,3,New York Mets,4
,,,
Arizona Diamondbacks,10,San Diego Padres,1
,,,
Oakland Athletics,5,San Francisco Giants,6
,,,
Pittsburgh Pirates,1,St. Louis Cardinals,3
,,,
Los Angeles Angels,3,Tampa Bay Rays,13
,,,
Kansas City Royals,0,Texas Rangers,8
,,,
Baltimore Orioles,4,Toronto Blue Jays,12
,,,
» 2021-06-26 Standings & Scores,,,
,,,
"Sunday, June 27, 2021",,,
,,,
New York Yankees,2,Boston Red Sox,9
,,,
Seattle Mariners,5,Chicago White Sox,7
,,,
Atlanta Braves,4,Cincinnati Reds,0
,,,
Houston Astros,1,Detroit Tigers,2
,,,
Chicago Cubs,1,Los Angeles Dodgers,7
,,,
Washington Nationals,5,Miami Marlins,1
,,,
Colorado Rockies,0,Milwaukee Brewers,5
,,,
Cleveland Indians,2,Minnesota Twins,8
,,,
Philadelphia Phillies,4,New York Mets,2
,,,
Arizona Diamondbacks,4,San Diego Padres,5
,,,
Oakland Athletics,6,San Francisco Giants,2
,,,
Pittsburgh Pirates,7,St. Louis Cardinals,2
,,,
Los Angeles Angels,6,Tampa Bay Rays,4
,,,
Kansas City Royals,1,Texas Rangers,4
,,,
Baltimore Orioles,2,Toronto Blue Jays,5
,,,
» 2021-06-27 Standings & Scores,,,
,,,
"Monday, June 28, 2021",,,
,,,
Kansas City Royals,5,Boston Red Sox,6
,,,
Philadelphia Phillies,4,Cincinnati Reds,12
,,,
Detroit Tigers,5,Cleveland Indians,13
,,,
Pittsburgh Pirates,0,Colorado Rockies,2
,,,
Baltimore Orioles,9,Houston Astros,7
,,,
San Francisco Giants,2,Los Angeles Dodgers,3
,,,
Chicago Cubs,4,Milwaukee Brewers,14
,,,
Los Angeles Angels,5,New York Yankees,3
,,,
Arizona Diamondbacks,1,St. Louis Cardinals,7
,,,
New York Mets,4,Washington Nationals,8
,,,
» 2021-06-28 Standings & Scores,,,
,,,
"Tuesday, June 29, 2021",,,
,,,
New York Mets,4,Atlanta Braves,3
,,,
Kansas City Royals,6,Boston Red Sox,7
,,,
Minnesota Twins,6,Chicago White Sox,7
,,,
San Diego Padres,5,Cincinnati Reds,4
,,,
Pittsburgh Pirates,0,Colorado Rockies,8
,,,
Baltimore Orioles,13,Houston Astros,3
,,,
San Francisco Giants,1,Los Angeles Dodgers,3
,,,
Chicago Cubs,1,Milwaukee Brewers,2
,,,
Los Angeles Angels,5,New York Yankees,11
,,,
Texas Rangers,5,Oakland Athletics,4
,,,
Miami Marlins,3,Philadelphia Phillies,4
,,,
Arizona Diamondbacks,2,St. Louis Cardinals,3
,,,
Seattle Mariners,3,Toronto Blue Jays,9
,,,
Tampa Bay Rays,3,Washington Nationals,4
,,,
» 2021-06-29 Standings & Scores,,,
,,,
"Wednesday, June 30, 2021",,,
,,,
New York Mets,2,Atlanta Braves,20
,,,
Kansas City Royals,2,Boston Red Sox,6
,,,
Minnesota Twins,3,Chicago White Sox,13
,,,
San Diego Padres,7,Cincinnati Reds,5
,,,
Detroit Tigers,9,Cleveland Indians,4
,,,
Detroit Tigers,7,Cleveland Indians,1
,,,
Pittsburgh Pirates,2,Colorado Rockies,6
,,,
Baltimore Orioles,5,Houston Astros,2
,,,
Chicago Cubs,7,Milwaukee Brewers,15
,,,
Los Angeles Angels,11,New York Yankees,8
,,,
Texas Rangers,1,Oakland Athletics,3
,,,
Miami Marlins,11,Philadelphia Phillies,6
,,,
Arizona Diamondbacks,4,St. Louis Cardinals,7
,,,
Seattle Mariners,9,Toronto Blue Jays,7
,,,
Tampa Bay Rays,6,Washington Nationals,15
,,,
» 2021-06-30 Standings & Scores,,,
,,,
"Thursday, July 1, 2021",,,
,,,
San Francisco Giants,3,Arizona Diamondbacks,5
,,,
New York Mets,3,Atlanta Braves,4
,,,
Kansas City Royals,1,Boston Red Sox,15
,,,
Minnesota Twins,5,Chicago White Sox,8
,,,
San Diego Padres,4,Cincinnati Reds,5
,,,
Houston Astros,7,Cleveland Indians,2
,,,
St. Louis Cardinals,2,Colorado Rockies,5
,,,
Texas Rangers,8,Oakland Athletics,3
,,,
Milwaukee Brewers,7,Pittsburgh Pirates,2
,,,
Seattle Mariners,7,Toronto Blue Jays,2
,,,
Los Angeles Dodgers,6,Washington Nationals,2
,,,
» 2021-07-01 Standings & Scores,,,
,,,
"Friday, July 2, 2021",,,
,,,
Baltimore Orioles,7,Los Angeles Angels,8
,,,
San Francisco Giants,11,Arizona Diamondbacks,4
,,,
Miami Marlins,0,Atlanta Braves,1
,,,
Chicago Cubs,1,Cincinnati Reds,2
,,,
Houston Astros,6,Cleveland Indians,3
,,,
St. Louis Cardinals,9,Colorado Rockies,3
,,,
Chicago White Sox,8,Detroit Tigers,2
,,,
Minnesota Twins,4,Kansas City Royals,7
,,,
Boston Red Sox,3,Oakland Athletics,2
,,,
San Diego Padres,3,Philadelphia Phillies,4
,,,
Milwaukee Brewers,7,Pittsburgh Pirates,2
,,,
Texas Rangers,4,Seattle Mariners,5
,,,
Tampa Bay Rays,1,Toronto Blue Jays,11
,,,
Los Angeles Dodgers,10,Washington Nationals,5
,,,
» 2021-07-02 Standings & Scores,,,
,,,
"Saturday, July 3, 2021",,,
,,,
Baltimore Orioles,1,Los Angeles Angels,4
,,,
San Francisco Giants,6,Arizona Diamondbacks,5
,,,
Miami Marlins,3,Atlanta Braves,2
,,,
Chicago Cubs,2,Cincinnati Reds,3
,,,
Houston Astros,3,Cleveland Indians,2
,,,
St. Louis Cardinals,2,Colorado Rockies,3
,,,
Chicago White Sox,5,Detroit Tigers,11
,,,
Minnesota Twins,3,Kansas City Royals,6
,,,
New York Mets,8,New York Yankees,3
,,,
Boston Red Sox,6,Oakland Athletics,7
,,,
San Diego Padres,2,Philadelphia Phillies,4
,,,
Milwaukee Brewers,11,Pittsburgh Pirates,2
,,,
Texas Rangers,7,Seattle Mariners,3
,,,
Tampa Bay Rays,3,Toronto Blue Jays,6
,,,
Los Angeles Dodgers,5,Washington Nationals,3
,,,
» 2021-07-03 Standings & Scores,,,
,,,
"Sunday, July 4, 2021",,,
,,,
Baltimore Orioles,5,Los Angeles Angels,6
,,,
San Francisco Giants,5,Arizona Diamondbacks,2
,,,
Miami Marlins,7,Atlanta Braves,8
,,,
Chicago Cubs,2,Cincinnati Reds,3
,,,
Houston Astros,4,Cleveland Indians,3
,,,
St. Louis Cardinals,2,Colorado Rockies,3
,,,
Chicago White Sox,5,Detroit Tigers,6
,,,
Minnesota Twins,6,Kansas City Royals,2
,,,
New York Mets,10,New York Yankees,5
,,,
New York Mets,2,New York Yankees,4
,,,
Boston Red Sox,1,Oakland Athletics,0
,,,
San Diego Padres,11,Philadelphia Phillies,1
,,,
Milwaukee Brewers,0,Pittsburgh Pirates,2
,,,
Texas Rangers,1,Seattle Mariners,4
,,,
Tampa Bay Rays,5,Toronto Blue Jays,1
,,,
Los Angeles Dodgers,5,Washington Nationals,1
,,,
» 2021-07-04 Standings & Scores,,,
,,,
"Monday, July 5, 2021",,,
,,,
Boston Red Sox,5,Los Angeles Angels,4
,,,
Philadelphia Phillies,13,Chicago Cubs,3
,,,
Cincinnati Reds,6,Kansas City Royals,2
,,,
Los Angeles Dodgers,4,Miami Marlins,5
,,,
Chicago White Sox,5,Minnesota Twins,8
,,,
Milwaukee Brewers,2,New York Mets,4
,,,
Atlanta Braves,1,Pittsburgh Pirates,11
,,,
Washington Nationals,7,San Diego Padres,5
,,,
St. Louis Cardinals,5,San Francisco Giants,3
,,,
Cleveland Indians,8,Tampa Bay Rays,9
,,,
Detroit Tigers,7,Texas Rangers,3
,,,
» 2021-07-05 Standings & Scores,,,
,,,
"Tuesday, July 6, 2021",,,
,,,
Boston Red Sox,3,Los Angeles Angels,5
,,,
Colorado Rockies,3,Arizona Diamondbacks,4
,,,
Toronto Blue Jays,5,@ Baltimore Orioles,7
,,,
Philadelphia Phillies,15,Chicago Cubs,10
,,,
Oakland Athletics,6,Houston Astros,9
,,,
Cincinnati Reds,6,Kansas City Royals,7
,,,
Los Angeles Dodgers,1,Miami Marlins,2
,,,
Chicago White Sox,4,Minnesota Twins,1
,,,
Atlanta Braves,1,Pittsburgh Pirates,2
,,,
Washington Nationals,4,San Diego Padres,7
,,,
New York Yankees,12,Seattle Mariners,1
,,,
St. Louis Cardinals,6,San Francisco Giants,5
,,,
Detroit Tigers,5,Texas Rangers,10
,,,
» 2021-07-06 Standings & Scores,,,
,,,
"Wednesday, July 7, 2021",,,
,,,
Boston Red Sox,4,Los Angeles Angels,5
,,,
Colorado Rockies,4,Arizona Diamondbacks,6
,,,
Toronto Blue Jays,10,@ Baltimore Orioles,2
,,,
Philadelphia Phillies,3,Chicago Cubs,8
,,,
Oakland Athletics,3,Houston Astros,4
,,,
Cincinnati Reds,5,Kansas City Royals,2
,,,
Los Angeles Dodgers,6,Miami Marlins,9
,,,
Chicago White Sox,6,Minnesota Twins,1
,,,
Milwaukee Brewers,3,New York Mets,4
,,,
Milwaukee Brewers,5,New York Mets,0
,,,
Atlanta Braves,14,Pittsburgh Pirates,3
,,,
Washington Nationals,15,San Diego Padres,5
,,,
New York Yankees,5,Seattle Mariners,4
,,,
St. Louis Cardinals,2,San Francisco Giants,5
,,,
Cleveland Indians,1,Tampa Bay Rays,8
,,,
Cleveland Indians,0,Tampa Bay Rays,4
,,,
Detroit Tigers,5,Texas Rangers,3
,,,
» 2021-07-07 Standings & Scores,,,
,,,
"Thursday, July 8, 2021",,,
,,,
Colorado Rockies,9,Arizona Diamondbacks,3
,,,
Philadelphia Phillies,8,Chicago Cubs,0
,,,
Kansas City Royals,4,Cleveland Indians,7
,,,
Oakland Athletics,2,Houston Astros,1
,,,
Los Angeles Dodgers,6,Miami Marlins,1
,,,
Cincinnati Reds,3,Milwaukee Brewers,5
,,,
Detroit Tigers,3,Minnesota Twins,5
,,,
Washington Nationals,8,San Diego Padres,9
,,,
New York Yankees,0,Seattle Mariners,4
