"Season","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2018","BOS",".309","1.20","20.5%","43.5%","36.1%","9.6%","13.1%","144","7.5%","4","23.5%","40.6%","33.8%","25.5%","16.5%","49.2%","34.4%"
"2016","WSN",".293","1.20","19.4%","44.0%","36.5%","9.6%","13.1%","122","6.5%","24","23.5%","40.5%","34.6%","24.9%","18.2%","49.0%","32.8%"
"2018","CLE",".291","1.08","22.3%","40.3%","37.4%","10.5%","13.1%","107","6.0%","15","25.4%","40.6%","35.6%","23.8%","16.5%","45.1%","38.4%"
"2002","TEX",".292","1.05","21.4%","40.2%","38.4%","10.8%","13.1%","120","6.5%","15","20.0%","43.6%","29.7%","26.7%","13.4%","62.4%","24.2%"
"2012","LAA",".311","1.46","19.7%","47.7%","32.6%","10.8%","13.1%","129","6.2%","44","36.7%","40.1%","35.8%","24.1%","14.6%","56.0%","29.4%"
"2017","SDP",".287","1.13","19.4%","42.9%","37.8%","13.3%","13.1%","132","8.0%","25","23.1%","41.0%","33.8%","25.2%","22.7%","47.3%","30.0%"
"2018","WSN",".297","1.27","20.8%","44.3%","34.9%","10.2%","13.0%","109","5.9%","31","28.2%","38.7%","35.2%","26.1%","18.8%","49.2%","32.0%"
"2004","LAD",".291","1.29","19.3%","45.4%","35.3%","11.8%","13.0%","135","6.7%","27","19.4%","41.2%","31.6%","27.2%","17.0%","58.4%","24.6%"
"2018","ARI",".286","1.30","22.5%","43.8%","33.8%","10.1%","13.0%","108","6.2%","11","13.3%","39.9%","35.0%","25.1%","17.2%","43.1%","39.8%"
"2014","COL",".326","1.39","21.3%","45.8%","32.9%","9.2%","13.0%","140","7.0%","25","25.0%","37.7%","35.9%","26.4%","17.9%","51.4%","30.7%"
"2008","FLA",".300","1.09","19.5%","41.9%","38.6%","10.8%","13.0%","109","6.3%","13","16.0%","44.1%","31.4%","24.5%","18.8%","52.7%","28.5%"
"2005","CLE",".302","1.27","20.3%","44.6%","35.0%","9.7%","13.0%","127","6.3%","13","19.4%","46.5%","28.2%","25.4%","13.8%","55.1%","31.1%"
"2012","MIL",".299","1.23","18.6%","44.9%","36.4%","9.3%","13.0%","158","8.3%","40","24.4%","37.9%","36.9%","25.2%","15.8%","53.6%","30.5%"
"2013","BAL",".288","1.19","20.2%","43.4%","36.4%","10.6%","12.9%","133","6.8%","14","25.0%","41.8%","34.0%","24.3%","17.2%","51.7%","31.1%"
"2018","SDP",".294","1.47","21.4%","46.7%","31.9%","11.5%","12.9%","135","7.3%","16","18.0%","39.2%","35.7%","25.1%","19.8%","43.3%","36.9%"
"2009","TEX",".296","0.98","19.3%","40.0%","40.7%","8.1%","12.9%","121","7.1%","19","22.4%","41.1%","34.1%","24.8%","15.3%","56.4%","28.3%"
"2007","MIL",".289","1.02","18.0%","41.3%","40.7%","10.2%","12.9%","115","6.3%","20","18.7%","41.9%","33.5%","24.6%","17.5%","47.8%","34.7%"
"2012","TOR",".281","1.21","19.6%","44.0%","36.4%","11.2%","12.8%","141","7.6%","30","38.0%","40.7%","34.5%","24.8%","14.8%","56.1%","29.1%"
"2006","NYY",".315","1.28","19.2%","45.4%","35.5%","9.6%","12.8%","122","5.8%","17","25.8%","40.2%","34.1%","25.6%","11.2%","60.8%","28.0%"
"2015","LAD",".292","1.22","21.5%","43.1%","35.4%","9.9%","12.8%","101","5.7%","5","5.7%","39.1%","36.3%","24.6%","18.2%","50.9%","31.0%"
"2015","NYY",".283","1.10","20.4%","41.7%","37.9%","10.1%","12.8%","121","6.6%","15","30.0%","44.4%","33.3%","22.3%","17.8%","53.8%","28.5%"
"2015","COL",".313","1.31","21.4%","44.6%","34.0%","9.9%","12.8%","121","6.3%","24","26.4%","37.2%","36.3%","26.5%","18.1%","51.8%","30.2%"
"2017","SEA",".300","1.21","19.2%","44.2%","36.6%","7.9%","12.8%","125","6.6%","18","31.6%","39.8%","35.8%","24.4%","18.2%","50.4%","31.4%"
"2021","BAL",".288","1.07","20.5%","41.1%","38.3%","11.9%","12.8%","98","6.9%","7","20.6%","40.5%","33.4%","26.1%","18.4%","51.0%","30.6%"
"2011","TEX",".304","1.29","20.5%","44.7%","34.8%","8.2%","12.8%","172","8.1%","23","24.5%","37.8%","37.2%","25.0%","22.4%","51.9%","25.7%"
"2018","PHI",".289","1.14","19.9%","42.7%","37.5%","12.0%","12.7%","112","6.7%","17","23.6%","40.7%","35.0%","24.3%","22.1%","48.8%","29.1%"
"2008","CHW",".281","0.99","19.5%","40.0%","40.5%","12.9%","12.7%","104","5.7%","14","21.9%","44.0%","30.6%","25.4%","18.2%","53.3%","28.5%"
"2021","OAK",".280","1.05","20.2%","41.0%","38.8%","10.2%","12.7%","92","6.4%","5","16.7%","41.4%","35.7%","22.9%","16.7%","51.4%","31.9%"
"2009","PHI",".286","1.02","19.8%","40.4%","39.7%","9.0%","12.7%","111","6.2%","9","10.7%","42.9%","35.1%","22.0%","15.7%","54.3%","30.0%"
"2012","TEX",".306","1.27","20.6%","44.4%","35.0%","8.6%","12.7%","148","7.4%","20","27.0%","38.7%","35.2%","26.1%","14.1%","55.3%","30.5%"
"2017","DET",".306","1.22","23.2%","42.2%","34.6%","8.2%","12.7%","104","5.8%","3","13.6%","38.4%","34.3%","27.3%","16.8%","45.8%","37.4%"
"2021","HOU",".306","1.09","22.1%","40.6%","37.4%","10.3%","12.7%","98","6.4%","8","26.7%","40.7%","35.2%","24.1%","14.8%","52.0%","33.2%"
"2003","BOS",".307","0.97","24.0%","37.4%","38.6%","12.6%","12.7%","95","5.2%","9","18.8%","45.4%","25.6%","29.0%","14.7%","59.4%","25.9%"
"2020","OAK",".271","0.93","22.1%","37.6%","40.3%","11.7%","12.6%","27","5.2%","1","16.7%","42.3%","33.7%","24.0%","15.6%","51.3%","33.1%"
"2018","HOU",".289","1.09","20.4%","41.6%","38.0%","10.8%","12.6%","134","7.5%","15","32.6%","43.3%","34.4%","22.3%","17.9%","49.5%","32.6%"
"2003","CIN",".289","1.22","22.8%","42.5%","34.8%","11.9%","12.6%","107","6.1%","32","23.5%","42.4%","27.4%","30.2%","16.4%","60.2%","23.4%"
"2018","BAL",".286","1.21","19.4%","44.1%","36.4%","10.9%","12.6%","115","6.4%","18","34.6%","40.6%","34.3%","25.1%","19.6%","49.6%","30.9%"
"2017","PHI",".304","1.36","20.6%","45.8%","33.6%","9.9%","12.6%","126","6.7%","29","44.6%","37.8%","35.1%","27.0%","20.6%","49.8%","29.6%"
"2013","ATL",".300","1.22","20.9%","43.5%","35.7%","11.0%","12.6%","120","6.8%","23","20.5%","40.7%","35.6%","23.7%","17.6%","52.7%","29.8%"
"2017","LAA",".277","1.32","18.7%","46.3%","35.0%","9.9%","12.6%","109","5.6%","16","33.3%","42.5%","34.2%","23.3%","19.6%","50.0%","30.4%"
"2005","CHW",".286","1.24","20.6%","44.0%","35.5%","14.0%","12.5%","111","5.6%","43","32.8%","43.4%","27.5%","29.1%","18.4%","55.1%","26.6%"
"2020","TEX",".266","1.25","19.8%","44.5%","35.7%","13.1%","12.5%","40","6.5%","9","45.0%","39.7%","36.5%","23.7%","16.6%","48.2%","35.2%"
"2003","CHW",".279","1.01","22.4%","39.0%","38.5%","13.9%","12.5%","110","6.2%","24","25.0%","47.0%","25.7%","27.2%","15.8%","59.7%","24.5%"
"2004","BOS",".319","1.06","19.7%","41.4%","38.9%","11.7%","12.5%","118","6.2%","5","15.6%","47.4%","27.3%","25.3%","12.0%","56.9%","31.1%"
"2005","ARI",".285","1.32","20.2%","45.4%","34.4%","10.7%","12.5%","104","5.1%","27","21.3%","44.1%","31.3%","24.6%","15.0%","57.4%","27.6%"
"2016","NYY",".289","1.32","20.6%","45.2%","34.2%","10.3%","12.4%","107","5.5%","14","33.3%","41.7%","34.1%","24.2%","17.8%","52.5%","29.7%"
"2020","PIT",".268","1.38","20.0%","46.5%","33.6%","8.8%","12.3%","41","6.2%","2","20.0%","39.1%","35.2%","25.8%","16.7%","50.2%","33.0%"
"2004","TEX",".291","0.97","20.2%","39.2%","40.6%","12.0%","12.3%","125","7.0%","8","19.0%","43.7%","28.6%","27.7%","14.3%","56.6%","29.1%"
"2005","ATL",".298","1.30","21.0%","44.7%","34.3%","9.7%","12.3%","126","6.4%","24","16.1%","41.3%","30.5%","28.2%","17.0%","51.6%","31.4%"
"2016","PHI",".292","1.43","20.4%","46.9%","32.7%","10.6%","12.2%","134","7.1%","28","25.2%","37.9%","37.0%","25.2%","20.9%","50.6%","28.5%"
"2002","OAK",".284","1.14","21.3%","42.0%","36.7%","11.8%","12.2%","106","5.5%","9","24.3%","43.9%","29.2%","26.9%","14.0%","60.9%","25.1%"
"2008","CIN",".278","1.26","19.6%","44.8%","35.7%","10.7%","12.2%","103","5.4%","42","26.9%","42.4%","32.8%","24.8%","18.4%","55.8%","25.7%"
"2002","CHW",".287","1.02","20.6%","40.2%","39.3%","12.4%","12.2%","99","5.4%","43","35.5%","46.7%","25.1%","28.2%","14.6%","62.0%","23.4%"
"2021","TEX",".277","1.29","19.3%","45.5%","35.2%","9.0%","12.2%","110","7.0%","4","10.3%","38.1%","36.1%","25.8%","15.9%","53.0%","31.2%"
"2002","CLE",".271","1.24","19.9%","44.4%","35.7%","12.5%","12.2%","116","5.9%","21","24.4%","46.5%","28.4%","25.1%","15.7%","62.4%","21.9%"
"2005","CHC",".291","1.28","21.2%","44.3%","34.5%","12.0%","12.2%","132","6.4%","32","21.3%","44.4%","27.1%","28.5%","18.7%","53.3%","28.0%"
"2008","NYM",".296","1.49","22.8%","46.2%","31.0%","10.7%","12.1%","146","6.9%","32","24.8%","41.6%","33.7%","24.6%","18.5%","54.7%","26.8%"
"2010","NYY",".300","1.20","17.8%","44.8%","37.4%","8.6%","12.1%","132","6.6%","20","31.7%","41.2%","34.1%","24.7%","19.0%","48.8%","32.1%"
"2018","CHC",".313","1.41","21.4%","46.0%","32.6%","10.4%","12.1%","161","8.2%","14","16.9%","40.5%","34.1%","25.4%","19.6%","48.7%","31.7%"
"2012","COL",".321","1.48","21.9%","46.5%","31.5%","8.9%","12.1%","136","6.7%","31","25.4%","37.7%","37.3%","25.0%","15.1%","56.5%","28.3%"
"2018","SEA",".295","1.32","21.1%","45.0%","34.0%","9.5%","12.1%","123","6.4%","16","21.3%","40.6%","34.9%","24.5%","17.2%","50.7%","32.0%"
"2004","DET",".308","1.12","20.3%","42.1%","37.5%","9.3%","12.1%","123","6.6%","42","30.2%","45.9%","28.0%","26.2%","12.7%","61.9%","25.4%"
"2018","CIN",".307","1.18","24.6%","40.9%","34.5%","8.8%","12.1%","107","6.3%","28","24.8%","39.2%","34.5%","26.3%","16.5%","47.7%","35.8%"
"2011","MIL",".293","1.29","19.5%","45.3%","35.1%","10.5%","12.1%","122","6.2%","24","18.8%","40.1%","35.3%","24.6%","24.4%","49.0%","26.6%"
"2017","KCR",".295","1.13","22.3%","41.2%","36.6%","10.8%","12.0%","111","6.1%","15","38.5%","39.1%","34.5%","26.4%","19.8%","49.8%","30.4%"
"2007","NYY",".318","1.30","19.0%","45.8%","35.2%","7.7%","12.0%","152","7.0%","10","13.5%","40.4%","33.7%","25.9%","15.7%","50.4%","33.9%"
"2013","SEA",".279","1.13","20.4%","42.3%","37.3%","9.8%","12.0%","102","5.8%","21","30.9%","40.8%","35.4%","23.8%","16.1%","52.5%","31.4%"
"2004","ATL",".309","1.36","20.4%","45.9%","33.8%","10.7%","12.0%","129","6.4%","26","18.3%","41.9%","29.7%","28.4%","15.2%","56.5%","28.3%"
"2021","MIA",".301","1.37","20.1%","46.2%","33.7%","10.6%","12.0%","110","7.2%","7","14.0%","38.0%","35.0%","26.9%","18.0%","52.2%","29.7%"
"2007","PHI",".311","1.04","19.3%","41.1%","39.6%","9.1%","12.0%","116","6.3%","21","20.2%","41.2%","34.0%","24.9%","17.8%","45.8%","36.5%"
"2005","BOS",".310","1.15","22.6%","41.5%","36.0%","10.3%","12.0%","139","7.2%","11","33.3%","43.0%","30.3%","26.7%","13.2%","55.2%","31.6%"
"2020","SEA",".281","1.21","20.4%","43.5%","36.1%","9.8%","12.0%","38","6.3%","2","22.2%","38.2%","37.3%","24.5%","17.6%","51.0%","31.5%"
"2015","CHC",".305","1.19","20.9%","43.0%","36.2%","9.0%","11.9%","115","6.8%","17","22.4%","40.5%","34.9%","24.5%","18.1%","51.7%","30.2%"
"2003","TOR",".313","1.17","25.0%","40.5%","34.5%","9.2%","11.9%","120","6.4%","13","40.6%","42.2%","27.6%","30.2%","13.2%","61.8%","25.0%"
"2012","PIT",".291","1.29","19.5%","45.3%","35.1%","10.0%","11.9%","134","7.3%","21","19.6%","39.3%","34.5%","26.2%","17.3%","55.2%","27.4%"
"2019","MIA",".300","1.60","21.2%","48.5%","30.3%","8.6%","11.9%","138","7.0%","9","14.5%","38.4%","34.7%","26.9%","17.2%","44.1%","38.7%"
"2018","ATL",".302","1.25","23.0%","42.8%","34.2%","8.8%","11.9%","119","6.5%","17","19.3%","40.9%","33.8%","25.3%","16.7%","46.9%","36.4%"
"2003","STL",".302","1.20","22.9%","42.1%","35.0%","11.4%","11.9%","112","5.7%","36","23.2%","42.8%","28.1%","29.1%","16.2%","58.8%","25.0%"
"2012","OAK",".281","0.99","21.0%","39.4%","39.6%","12.2%","11.9%","100","6.1%","12","22.2%","41.3%","35.7%","22.9%","16.3%","56.4%","27.4%"
"2009","TBR",".303","1.03","19.8%","40.6%","39.6%","8.6%","11.9%","124","7.2%","24","38.1%","42.9%","31.7%","25.4%","15.5%","56.6%","27.9%"
"2016","CHW",".304","1.39","20.5%","46.3%","33.2%","11.7%","11.8%","112","5.7%","19","30.2%","38.8%","33.4%","27.7%","19.4%","51.1%","29.5%"
"2008","TEX",".325","1.15","22.1%","41.7%","36.2%","7.4%","11.8%","102","5.4%","22","27.8%","39.1%","32.9%","28.0%","13.3%","57.7%","29.1%"
"2016","CLE",".304","1.16","20.8%","42.6%","36.6%","10.1%","11.8%","99","5.4%","12","22.6%","41.5%","33.9%","24.6%","17.7%","51.5%","30.8%"
"2013","PIT",".294","1.39","21.3%","45.7%","33.0%","9.8%","11.8%","123","6.5%","18","15.9%","41.1%","36.8%","22.0%","16.4%","51.0%","32.6%"
"2013","TOR",".284","1.24","20.4%","44.1%","35.5%","11.2%","11.8%","123","6.3%","16","23.2%","40.4%","34.0%","25.6%","17.1%","51.9%","31.0%"
"2003","CHC",".297","1.32","22.7%","43.9%","33.4%","11.0%","11.8%","126","6.6%","16","14.0%","44.2%","27.0%","28.8%","15.5%","61.5%","23.0%"
"2009","COL",".305","1.06","19.3%","41.5%","39.2%","9.0%","11.8%","118","6.9%","31","21.8%","40.8%","33.4%","25.8%","14.5%","56.6%","28.8%"
"2006","NYM",".293","1.14","18.6%","43.4%","38.0%","10.8%","11.8%","118","6.1%","36","25.5%","40.4%","33.2%","26.4%","11.2%","61.7%","27.1%"
"2020","HOU",".273","1.08","21.5%","40.8%","37.7%","11.3%","11.8%","33","5.2%","1","6.7%","44.1%","34.0%","21.8%","15.3%","51.3%","33.4%"
"2006","CLE",".324","1.11","20.6%","41.8%","37.6%","8.3%","11.8%","104","5.6%","14","26.9%","40.5%","33.0%","26.4%","10.0%","60.5%","29.5%"
"2017","ATL",".305","1.46","21.2%","46.8%","32.0%","7.2%","11.8%","119","5.8%","18","17.1%","38.0%","35.1%","26.9%","18.9%","51.2%","29.9%"
"2006","TBD",".285","1.19","18.7%","44.1%","37.2%","12.0%","11.8%","126","6.6%","27","29.0%","41.3%","34.3%","24.3%","11.1%","63.3%","25.6%"
"2016","CIN",".303","1.33","22.3%","44.4%","33.3%","7.4%","11.7%","101","5.4%","23","20.4%","38.6%","35.8%","25.6%","17.9%","52.7%","29.5%"
"2011","BOS",".314","1.15","19.7%","42.9%","37.4%","9.1%","11.7%","144","7.3%","7","17.1%","41.0%","34.2%","24.8%","21.8%","50.1%","28.1%"
"2021","STL",".283","1.04","20.7%","40.5%","38.8%","10.1%","11.7%","102","7.2%","8","14.8%","41.8%","34.1%","24.1%","16.4%","51.8%","31.8%"
"2015","LAA",".280","1.28","19.5%","45.2%","35.3%","9.2%","11.7%","118","6.1%","18","23.4%","39.7%","36.1%","24.2%","19.1%","53.7%","27.2%"
"2007","CIN",".298","1.07","19.2%","41.8%","39.0%","11.7%","11.7%","119","6.4%","30","22.2%","40.6%","32.6%","26.8%","20.8%","46.7%","32.5%"
"2008","MIL",".287","1.08","18.5%","42.3%","39.2%","12.4%","11.7%","135","7.4%","21","20.8%","42.5%","32.5%","25.0%","18.0%","53.5%","28.5%"
"2005","MIL",".298","1.22","22.3%","42.7%","35.0%","9.8%","11.7%","105","5.7%","15","14.2%","40.1%","32.1%","27.8%","15.7%","56.4%","27.9%"
"2011","CIN",".297","1.22","20.0%","43.9%","36.1%","9.9%","11.7%","134","7.0%","26","20.0%","38.1%","36.4%","25.6%","24.1%","50.4%","25.5%"
"2006","DET",".310","1.09","19.1%","42.2%","38.7%","8.3%","11.7%","126","6.6%","22","24.4%","41.8%","31.3%","26.9%","10.2%","61.2%","28.6%"
"2019","SFG",".290","1.23","22.7%","42.6%","34.6%","8.4%","11.6%","96","5.4%","20","32.8%","39.2%","35.1%","25.6%","16.2%","45.4%","38.4%"
"2004","MIN",".290","1.30","18.3%","46.2%","35.5%","10.5%","11.6%","140","6.5%","18","19.4%","45.9%","27.4%","26.7%","13.4%","61.2%","25.4%"
"2008","CHC",".321","1.19","21.2%","42.8%","36.0%","6.9%","11.6%","124","6.6%","17","15.2%","37.1%","32.8%","30.1%","15.1%","56.4%","28.5%"
"2019","PIT",".309","1.47","21.8%","46.6%","31.6%","8.4%","11.6%","128","6.2%","16","19.5%","39.3%","33.8%","26.9%","19.3%","46.8%","33.9%"
"2006","FLA",".309","1.18","19.2%","43.7%","37.1%","9.8%","11.6%","152","8.2%","31","22.0%","40.2%","33.6%","26.2%","12.4%","59.8%","27.9%"
"2013","HOU",".304","1.42","21.1%","46.2%","32.6%","9.6%","11.6%","119","6.6%","26","28.6%","38.6%","36.7%","24.7%","15.9%","54.8%","29.3%"
"2007","CHW",".278","1.14","17.4%","44.1%","38.6%","11.1%","11.6%","93","5.0%","26","24.1%","42.2%","31.8%","26.0%","19.9%","48.9%","31.2%"
"2011","BAL",".288","1.19","18.8%","44.2%","37.0%","10.5%","11.6%","131","6.6%","23","32.9%","40.2%","35.4%","24.4%","23.0%","52.2%","24.8%"
"2012","TBR",".284","1.15","20.0%","42.7%","37.3%","12.2%","11.6%","113","6.5%","22","25.0%","45.7%","33.2%","21.1%","15.7%","55.8%","28.5%"
"2015","NYM",".287","1.16","22.0%","41.9%","36.1%","11.0%","11.5%","127","7.1%","5","9.6%","39.5%","33.8%","26.7%","18.0%","50.5%","31.6%"
"2007","FLA",".315","0.98","19.2%","40.0%","40.8%","10.4%","11.5%","110","6.4%","35","27.8%","42.0%","33.0%","25.0%","18.9%","47.9%","33.2%"
"2020","COL",".316","1.14","22.7%","41.1%","36.1%","10.6%","11.5%","48","7.7%","9","34.6%","38.0%","34.7%","27.3%","16.5%","50.6%","32.9%"
"2012","STL",".316","1.53","21.1%","47.8%","31.1%","8.9%","11.5%","143","6.7%","19","16.7%","36.5%","36.5%","26.9%","14.4%","56.0%","29.5%"
"2019","KCR",".301","1.29","21.1%","44.4%","34.5%","9.7%","11.5%","125","6.9%","26","37.1%","40.1%","34.0%","25.8%","16.9%","46.2%","36.9%"
"2015","TEX",".300","1.31","19.0%","45.9%","35.1%","9.3%","11.5%","128","6.5%","43","38.4%","41.7%","34.9%","23.4%","18.4%","52.2%","29.4%"
"2003","HOU",".289","1.16","21.2%","42.4%","36.4%","10.7%","11.5%","117","6.1%","21","20.4%","45.3%","26.9%","27.8%","17.0%","58.3%","24.7%"
"2002","MON",".298","1.44","21.2%","46.4%","32.3%","11.0%","11.5%","121","6.0%","24","14.5%","38.9%","31.6%","29.5%","17.1%","61.3%","21.6%"
"2003","PHI",".301","1.32","23.4%","43.7%","33.0%","10.6%","11.5%","116","6.1%","12","13.8%","41.8%","28.6%","29.6%","16.4%","57.3%","26.4%"
"2016","PIT",".311","1.48","21.3%","46.9%","31.7%","8.8%","11.5%","140","7.1%","16","20.5%","39.7%","34.8%","25.5%","19.8%","49.1%","31.1%"
"2008","DET",".301","1.13","18.8%","43.1%","38.1%","10.3%","11.5%","118","6.0%","12","21.4%","43.3%","31.1%","25.6%","15.5%","57.1%","27.3%"
"2012","CIN",".296","1.20","21.2%","43.0%","35.8%","10.1%","11.5%","111","6.2%","25","18.5%","39.1%","34.1%","26.9%","16.3%","56.2%","27.5%"
"2013","CLE",".300","1.22","21.1%","43.4%","35.5%","7.4%","11.5%","99","5.4%","25","36.2%","42.9%","33.9%","23.2%","15.9%","54.4%","29.7%"
"2020","CLE",".277","1.23","20.1%","44.1%","35.7%","11.1%","11.5%","43","6.8%","8","33.3%","42.0%","32.9%","25.1%","17.0%","52.3%","30.7%"
"2002","TOR",".295","1.14","21.9%","41.6%","36.5%","10.6%","11.5%","113","6.1%","12","33.3%","41.8%","29.8%","28.4%","14.1%","63.3%","22.6%"
"2004","NYM",".282","1.15","20.1%","42.8%","37.1%","11.4%","11.4%","99","5.3%","22","17.9%","41.9%","29.0%","29.1%","14.1%","57.5%","28.4%"
"2008","TBR",".302","1.21","19.4%","44.2%","36.4%","9.0%","11.4%","115","6.0%","25","36.8%","41.0%","32.9%","26.1%","16.4%","56.4%","27.2%"
"2015","ARI",".316","1.53","21.4%","47.5%","31.1%","8.2%","11.4%","122","5.9%","36","32.4%","37.3%","36.0%","26.7%","16.7%","52.3%","31.0%"
"2021","KCR",".287","1.23","20.7%","43.8%","35.5%","9.0%","11.4%","114","7.2%","14","23.0%","41.4%","35.3%","23.4%","14.8%","52.8%","32.4%"
"2002","SFG",".289","1.06","21.5%","40.4%","38.1%","12.0%","11.4%","143","7.8%","24","21.4%","44.5%","29.9%","25.6%","14.8%","61.8%","23.5%"
"2013","BOS",".329","1.17","22.7%","41.6%","35.6%","10.1%","11.4%","122","6.7%","18","36.7%","39.5%","35.7%","24.7%","14.6%","51.1%","34.3%"
"2005","NYM",".290","1.28","20.5%","44.7%","34.9%","10.2%","11.4%","134","6.8%","26","19.5%","42.6%","29.5%","27.9%","19.3%","55.2%","25.5%"
"2005","STL",".297","1.40","21.4%","45.9%","32.7%","11.0%","11.4%","147","7.0%","21","15.7%","41.4%","30.6%","28.1%","16.8%","55.8%","27.4%"
"2008","NYY",".302","1.33","19.5%","45.9%","34.5%","8.5%","11.4%","132","6.3%","8","16.7%","41.3%","31.5%","27.2%","16.3%","55.0%","28.7%"
"2013","COL",".317","1.42","22.7%","45.4%","31.9%","7.9%","11.4%","147","7.4%","24","21.4%","35.6%","37.7%","26.7%","16.8%","54.1%","29.0%"
"2013","LAA",".307","1.38","21.5%","45.6%","33.0%","7.8%","11.4%","136","6.8%","26","28.6%","37.1%","37.7%","25.2%","14.7%","55.0%","30.3%"
"2006","MIL",".300","1.13","19.8%","42.6%","37.6%","11.2%","11.4%","96","5.4%","14","14.4%","39.7%","34.4%","25.9%","10.7%","62.1%","27.2%"
"2013","WSN",".292","1.35","21.0%","45.5%","33.6%","9.2%","11.3%","118","6.1%","22","18.3%","37.2%","36.6%","26.2%","16.6%","52.9%","30.5%"
"2002","MIN",".309","1.39","21.9%","45.4%","32.7%","11.1%","11.3%","147","7.2%","22","28.9%","42.4%","28.5%","29.0%","14.5%","61.3%","24.2%"
"2014","TOR",".295","1.25","19.9%","44.5%","35.6%","12.8%","11.3%","129","6.6%","28","34.1%","42.3%","32.1%","25.6%","18.4%","52.6%","29.1%"
"2018","TBR",".317","1.41","22.1%","45.6%","32.4%","10.8%","11.3%","126","6.7%","23","34.3%","37.5%","34.5%","28.0%","18.2%","46.6%","35.2%"
"2011","ATL",".284","1.27","18.0%","45.9%","36.1%","11.2%","11.3%","126","6.5%","26","19.3%","40.8%","35.3%","23.9%","24.7%","50.8%","24.4%"
"2007","TBD",".318","1.11","18.9%","42.5%","38.5%","9.7%","11.3%","102","5.6%","13","24.1%","42.3%","33.0%","24.8%","16.3%","48.8%","34.9%"
"2010","CIN",".314","1.11","19.1%","42.6%","38.3%","8.6%","11.3%","130","7.0%","29","23.6%","38.0%","35.7%","26.3%","17.9%","50.1%","32.0%"
"2002","CIN",".293","1.25","20.8%","44.0%","35.2%","10.9%","11.3%","120","6.4%","31","19.7%","41.9%","29.4%","28.7%","15.4%","61.7%","22.8%"
"2009","BOS",".301","0.92","18.7%","39.0%","42.3%","10.4%","11.3%","127","7.3%","16","38.1%","43.4%","32.9%","23.7%","14.9%","56.6%","28.6%"
"2004","HOU",".293","1.14","20.7%","42.2%","37.1%","12.4%","11.3%","131","6.9%","26","17.8%","43.3%","28.3%","28.5%","15.7%","56.0%","28.3%"
"2003","SFG",".291","1.18","21.6%","42.4%","36.0%","12.8%","11.3%","124","6.6%","26","18.4%","45.1%","28.5%","26.4%","16.6%","61.7%","21.8%"
"2010","MIL",".304","1.20","18.3%","44.6%","37.1%","10.4%","11.2%","135","6.9%","23","25.8%","38.0%","36.4%","25.7%","19.1%","49.5%","31.5%"
"2006","STL",".292","1.25","19.7%","44.7%","35.6%","11.8%","11.2%","117","5.7%","15","13.4%","41.0%","34.1%","25.0%","11.4%","64.2%","24.3%"
