"Season","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2013","DET",".320","1.30","22.8%","43.5%","33.6%","8.5%","11.2%","109","5.4%","22","29.3%","38.9%","36.0%","25.1%","14.5%","54.2%","31.3%"
"2014","CHW",".306","1.40","20.9%","46.1%","33.0%","10.9%","11.2%","151","7.8%","17","34.0%","40.5%","32.8%","26.7%","19.8%","52.0%","28.2%"
"2020","STL",".290","1.20","22.1%","42.4%","35.5%","9.0%","11.2%","47","8.6%","1","10.0%","40.5%","36.1%","23.5%","16.9%","52.0%","31.0%"
"2002","STL",".292","1.27","21.5%","44.0%","34.6%","11.4%","11.2%","135","6.8%","49","26.8%","45.2%","28.0%","26.8%","15.0%","63.4%","21.6%"
"2013","CHC",".275","1.22","19.9%","43.9%","36.1%","9.0%","11.2%","132","7.1%","15","18.5%","41.0%","34.7%","24.4%","17.1%","53.1%","29.8%"
"2010","ARI",".312","1.01","18.2%","41.2%","40.7%","9.7%","11.2%","97","5.9%","8","13.8%","39.9%","36.4%","23.7%","18.1%","48.4%","33.4%"
"2012","PHI",".290","1.49","20.3%","47.7%","32.0%","10.6%","11.1%","134","6.3%","30","22.6%","41.2%","35.3%","23.4%","16.7%","57.4%","25.9%"
"2014","HOU",".298","1.19","20.3%","43.2%","36.5%","10.2%","11.1%","113","6.5%","16","32.7%","40.5%","35.1%","24.4%","19.2%","52.8%","28.0%"
"2015","CIN",".290","1.24","21.5%","43.5%","35.0%","8.8%","11.1%","116","6.2%","25","22.7%","37.7%","34.7%","27.6%","18.6%","54.4%","27.0%"
"2013","TEX",".294","1.26","20.7%","44.1%","35.1%","10.3%","11.1%","124","6.2%","30","31.9%","39.3%","36.0%","24.7%","16.3%","53.3%","30.4%"
"2002","ARI",".298","1.36","21.7%","45.2%","33.2%","12.4%","11.1%","137","6.8%","31","24.4%","41.9%","30.1%","28.0%","15.3%","63.0%","21.7%"
"2002","ATL",".290","1.39","20.5%","46.3%","33.2%","11.8%","11.1%","132","6.4%","26","19.1%","42.7%","29.9%","27.4%","15.1%","62.3%","22.6%"
"2013","MIL",".294","1.43","19.2%","47.5%","33.3%","9.1%","11.1%","166","8.2%","38","24.7%","34.3%","38.1%","27.6%","18.7%","50.3%","31.1%"
"2003","FLA",".296","1.43","22.5%","45.6%","31.9%","13.3%","11.1%","139","6.9%","55","28.1%","43.0%","27.9%","29.1%","18.8%","58.9%","22.3%"
"2015","TBR",".300","1.19","21.1%","42.9%","36.0%","10.0%","11.1%","106","5.9%","14","29.2%","41.9%","34.0%","24.1%","18.5%","53.5%","28.0%"
"2002","COL",".311","1.50","22.6%","46.4%","31.0%","11.6%","11.0%","143","6.9%","36","28.6%","40.4%","30.4%","29.2%","15.9%","63.6%","20.5%"
"2009","MIL",".305","1.13","18.4%","43.2%","38.4%","10.9%","11.0%","124","6.7%","9","10.2%","40.3%","35.1%","24.6%","15.6%","55.8%","28.6%"
"2005","BAL",".289","1.16","20.1%","43.0%","36.9%","12.9%","11.0%","141","7.1%","29","32.6%","45.0%","28.4%","26.6%","14.8%","57.5%","27.6%"
"2006","TOR",".306","1.11","19.5%","42.3%","38.2%","8.0%","11.0%","98","4.9%","14","35.9%","38.5%","36.2%","25.3%","9.8%","62.0%","28.2%"
"2013","SDP",".294","1.47","21.5%","46.8%","31.7%","8.5%","11.0%","132","6.8%","25","21.2%","41.0%","35.6%","23.3%","16.3%","53.7%","29.9%"
"2013","CIN",".293","1.37","20.9%","45.8%","33.3%","7.9%","11.0%","123","6.3%","27","18.5%","37.0%","36.2%","26.8%","16.9%","55.2%","27.9%"
"2005","PHI",".306","1.23","23.7%","42.1%","34.2%","9.7%","11.0%","84","4.5%","21","18.3%","41.9%","32.7%","25.4%","15.4%","52.9%","31.7%"
"2015","MIL",".303","1.51","20.5%","47.8%","31.7%","8.2%","11.0%","113","5.7%","22","22.4%","35.0%","35.7%","29.3%","19.5%","50.5%","30.0%"
"2017","PIT",".286","1.44","20.5%","46.9%","32.5%","8.1%","11.0%","130","6.5%","15","18.1%","38.5%","35.0%","26.5%","21.2%","49.0%","29.8%"
"2017","BOS",".300","1.32","20.3%","45.3%","34.4%","11.4%","11.0%","153","7.6%","12","37.5%","38.4%","35.5%","26.2%","19.0%","48.8%","32.2%"
"2012","DET",".307","1.30","21.7%","44.3%","34.0%","8.1%","10.9%","98","5.1%","16","22.9%","37.1%","36.3%","26.6%","13.7%","55.4%","31.0%"
"2018","NYM",".283","1.09","20.3%","41.6%","38.1%","11.8%","10.9%","104","6.1%","10","18.5%","41.6%","34.1%","24.3%","19.2%","47.9%","32.9%"
"2011","STL",".305","1.45","20.3%","47.2%","32.5%","9.5%","10.9%","129","6.0%","12","9.6%","36.5%","36.4%","27.1%","24.3%","51.6%","24.1%"
"2008","HOU",".296","1.31","19.4%","45.6%","34.9%","11.9%","10.9%","152","7.6%","34","27.4%","39.2%","34.4%","26.4%","18.6%","54.9%","26.5%"
"2012","ARI",".307","1.18","21.5%","42.6%","36.0%","9.4%","10.9%","102","5.7%","18","17.6%","39.8%","34.9%","25.3%","15.2%","53.5%","31.4%"
"2008","STL",".312","1.29","21.4%","44.3%","34.3%","10.3%","10.9%","120","5.8%","12","11.4%","38.4%","34.5%","27.1%","17.0%","56.2%","26.8%"
"2015","BOS",".305","1.43","20.2%","47.0%","32.8%","10.0%","10.9%","174","8.2%","8","16.7%","38.1%","36.3%","25.6%","19.4%","52.2%","28.5%"
"2011","ARI",".294","1.09","20.5%","41.4%","38.1%","11.7%","10.9%","98","5.7%","19","18.8%","40.4%","34.8%","24.8%","23.2%","49.8%","26.9%"
"2011","COL",".300","1.28","20.8%","44.5%","34.8%","11.2%","10.8%","115","6.0%","36","26.1%","38.2%","36.5%","25.3%","25.3%","49.4%","25.3%"
"2004","SFG",".290","1.22","19.7%","44.2%","36.1%","12.0%","10.8%","129","6.2%","16","11.8%","44.7%","30.1%","25.3%","13.9%","57.6%","28.4%"
"2012","ATL",".296","1.37","21.0%","45.7%","33.3%","10.0%","10.8%","119","6.3%","25","23.8%","38.9%","34.8%","26.3%","14.9%","54.8%","30.3%"
"2010","BOS",".299","0.92","17.5%","39.5%","43.0%","9.2%","10.8%","115","6.4%","8","18.6%","40.5%","34.7%","24.8%","17.2%","50.6%","32.2%"
"2012","HOU",".288","1.36","20.7%","45.7%","33.7%","9.6%","10.8%","123","6.7%","26","23.9%","39.8%","35.0%","25.2%","17.1%","55.5%","27.4%"
"2020","ARI",".282","1.25","21.9%","43.3%","34.8%","10.0%","10.8%","45","6.7%","6","46.2%","44.1%","34.0%","21.9%","15.6%","51.6%","32.9%"
"2004","CLE",".305","1.19","19.9%","43.5%","36.7%","11.4%","10.7%","119","5.8%","16","21.1%","45.0%","28.1%","27.0%","12.9%","58.2%","28.8%"
"2018","PIT",".298","1.27","21.4%","43.9%","34.7%","9.1%","10.7%","133","7.2%","18","25.4%","38.3%","34.9%","26.8%","19.1%","48.6%","32.3%"
"2007","NYM",".303","1.24","19.5%","44.6%","36.0%","10.3%","10.7%","135","6.6%","35","22.0%","40.3%","34.4%","25.3%","18.8%","49.8%","31.4%"
"2003","MIN",".312","1.48","22.2%","46.4%","31.4%","9.9%","10.7%","135","6.3%","31","32.6%","45.7%","26.4%","27.9%","13.9%","61.4%","24.7%"
"2006","CHC",".294","1.40","19.2%","47.1%","33.7%","10.0%","10.7%","157","7.2%","51","29.0%","37.6%","35.7%","26.6%","12.2%","63.1%","24.7%"
"2016","OAK",".280","1.17","21.0%","42.6%","36.4%","9.3%","10.7%","107","5.8%","12","26.7%","38.6%","35.2%","26.1%","18.9%","52.0%","29.2%"
"2011","TBR",".281","1.14","18.4%","43.4%","38.2%","11.6%","10.6%","128","7.0%","25","30.1%","43.0%","33.8%","23.1%","24.7%","50.6%","24.8%"
"2015","MIN",".292","1.27","20.4%","44.6%","35.0%","11.4%","10.6%","144","7.7%","32","37.2%","41.4%","33.8%","24.8%","18.5%","53.0%","28.5%"
"2006","TEX",".311","1.15","20.0%","42.7%","37.3%","11.6%","10.6%","140","7.1%","16","35.6%","41.2%","33.7%","25.1%","10.7%","60.5%","28.8%"
"2003","MON",".290","1.58","21.3%","48.1%","30.5%","12.5%","10.6%","119","5.6%","21","17.5%","40.8%","29.5%","29.7%","16.2%","64.4%","19.4%"
"2010","CHW",".292","1.24","17.6%","45.6%","36.8%","9.7%","10.6%","114","5.5%","24","20.2%","41.7%","33.6%","24.8%","18.6%","52.3%","29.1%"
"2002","HOU",".300","1.18","21.8%","42.4%","35.9%","11.6%","10.6%","114","6.1%","15","15.0%","43.2%","28.5%","28.3%","15.7%","61.5%","22.8%"
"2014","WSN",".303","1.33","20.6%","45.3%","34.1%","8.4%","10.6%","114","6.0%","34","25.8%","40.0%","33.8%","26.2%","17.8%","50.7%","31.4%"
"2008","COL",".308","1.25","21.5%","43.6%","35.0%","8.7%","10.6%","123","6.5%","32","20.0%","37.3%","36.7%","26.0%","17.0%","56.3%","26.7%"
"2011","WSN",".292","1.31","17.8%","46.6%","35.6%","9.6%","10.6%","123","6.5%","32","21.6%","37.9%","36.2%","25.9%","25.2%","50.4%","24.4%"
"2002","BOS",".302","1.22","21.5%","43.1%","35.4%","11.8%","10.6%","146","7.2%","17","34.0%","45.9%","27.8%","26.2%","14.1%","62.2%","23.7%"
"2007","TEX",".305","1.06","19.1%","41.7%","39.2%","9.4%","10.6%","123","6.8%","36","31.6%","38.7%","34.7%","26.5%","17.2%","49.4%","33.4%"
"2004","OAK",".300","1.09","20.2%","41.6%","38.2%","12.4%","10.6%","125","6.4%","12","21.8%","45.4%","27.6%","27.0%","12.9%","58.6%","28.5%"
"2007","COL",".322","1.20","21.0%","43.1%","35.9%","8.0%","10.6%","138","7.1%","51","30.7%","34.9%","36.4%","28.7%","18.5%","49.9%","31.6%"
"2003","PIT",".302","1.28","22.1%","43.7%","34.2%","12.8%","10.6%","134","6.8%","21","15.3%","44.1%","27.5%","28.4%","16.8%","61.4%","21.8%"
"2003","DET",".272","1.30","21.9%","44.2%","33.9%","9.9%","10.6%","96","5.1%","65","31.4%","45.5%","27.1%","27.5%","17.3%","61.5%","21.2%"
"2019","DET",".308","1.16","23.0%","41.4%","35.6%","10.0%","10.6%","104","6.3%","8","22.2%","39.9%","35.0%","25.2%","15.8%","45.6%","38.6%"
"2011","TOR",".283","1.03","18.1%","41.6%","40.3%","14.4%","10.6%","125","6.9%","29","34.9%","44.4%","32.9%","22.6%","23.8%","49.5%","26.7%"
"2014","CHC",".296","1.15","20.3%","42.5%","37.1%","9.8%","10.6%","103","6.0%","23","19.0%","41.4%","34.3%","24.4%","19.0%","52.3%","28.7%"
"2015","PIT",".314","1.54","21.6%","47.6%","30.9%","7.2%","10.5%","140","6.8%","18","16.5%","39.5%","35.7%","24.7%","18.6%","51.2%","30.1%"
"2014","PIT",".307","1.28","21.1%","44.3%","34.6%","9.6%","10.5%","146","7.7%","18","17.0%","41.1%","34.2%","24.7%","19.2%","51.5%","29.3%"
"2009","CHW",".285","1.10","17.3%","43.4%","39.3%","11.1%","10.5%","108","5.6%","12","17.6%","42.5%","31.4%","26.1%","16.6%","56.6%","26.8%"
"2015","CHW",".296","1.61","21.5%","48.5%","30.0%","10.2%","10.5%","121","5.8%","17","25.0%","37.4%","36.3%","26.3%","20.1%","53.6%","26.3%"
"2010","COL",".310","1.10","19.2%","42.3%","38.6%","8.7%","10.5%","110","6.1%","16","17.2%","37.4%","37.6%","25.1%","17.7%","50.1%","32.3%"
"2003","ARI",".295","1.42","22.9%","45.2%","31.9%","13.1%","10.5%","113","5.5%","26","21.0%","43.6%","28.4%","28.0%","17.3%","60.0%","22.8%"
"2009","DET",".294","1.06","18.2%","42.1%","39.7%","10.6%","10.5%","115","6.2%","29","26.1%","42.7%","31.4%","25.9%","15.4%","58.5%","26.2%"
"2013","MIN",".298","1.24","21.6%","43.4%","35.0%","9.4%","10.4%","121","6.8%","17","26.2%","37.9%","36.6%","25.5%","15.7%","54.7%","29.6%"
"2013","TBR",".295","1.21","20.4%","43.6%","36.0%","10.0%","10.4%","100","5.2%","20","35.1%","41.2%","36.5%","22.3%","15.6%","53.5%","30.9%"
"2009","ARI",".299","1.10","18.2%","42.8%","39.0%","11.4%","10.4%","108","5.9%","12","11.4%","37.8%","35.1%","27.1%","16.8%","53.8%","29.4%"
"2009","TOR",".290","0.92","18.2%","39.1%","42.7%","10.0%","10.4%","111","6.0%","6","14.6%","42.1%","34.3%","23.6%","15.3%","55.8%","28.9%"
"2007","ATL",".314","1.19","18.9%","44.0%","37.1%","8.6%","10.4%","124","6.2%","10","11.9%","40.5%","34.3%","25.3%","17.3%","48.1%","34.6%"
"2006","BOS",".298","0.99","20.0%","39.7%","40.3%","10.5%","10.4%","93","5.1%","20","33.3%","43.7%","33.1%","23.2%","8.6%","64.5%","26.9%"
"2005","DET",".304","1.25","20.1%","44.5%","35.5%","10.5%","10.4%","139","6.9%","23","22.5%","42.0%","29.1%","28.8%","14.7%","57.0%","28.3%"
"2006","HOU",".286","1.15","18.7%","43.4%","37.9%","12.5%","10.4%","112","5.8%","35","20.7%","38.5%","36.2%","25.3%","13.7%","61.7%","24.6%"
"2016","KCR",".309","1.43","20.1%","47.0%","32.8%","10.4%","10.4%","133","6.6%","24","27.3%","39.0%","35.0%","26.0%","19.5%","50.2%","30.3%"
"2009","MIN",".306","1.26","18.1%","45.7%","36.2%","10.0%","10.4%","132","6.3%","33","29.5%","38.7%","33.7%","27.7%","14.7%","59.7%","25.6%"
"2014","LAA",".305","1.34","20.5%","45.4%","34.0%","10.5%","10.3%","139","6.9%","23","36.5%","42.0%","32.9%","25.2%","17.5%","51.6%","31.0%"
"2003","KCR",".301","1.29","23.1%","43.3%","33.6%","11.0%","10.3%","149","7.4%","25","25.0%","44.4%","27.4%","28.1%","13.8%","62.5%","23.7%"
"2003","OAK",".273","1.13","21.7%","41.5%","36.8%","11.3%","10.3%","110","5.7%","5","13.2%","44.2%","27.8%","28.1%","13.9%","64.1%","22.0%"
"2012","BOS",".301","1.18","21.3%","42.6%","36.1%","9.4%","10.3%","116","6.1%","15","24.6%","39.9%","33.8%","26.3%","15.1%","55.2%","29.7%"
"2018","MIN",".298","1.05","21.7%","40.0%","38.3%","10.1%","10.3%","106","6.3%","13","28.3%","40.2%","34.5%","25.3%","17.6%","45.7%","36.7%"
"2003","CLE",".286","1.26","22.6%","43.2%","34.2%","10.7%","10.3%","113","5.8%","37","32.5%","45.3%","26.7%","28.0%","15.3%","62.1%","22.7%"
"2015","SDP",".292","1.29","20.2%","44.9%","34.9%","8.8%","10.3%","133","7.2%","28","26.2%","39.4%","35.7%","24.9%","18.6%","51.1%","30.3%"
"2006","WSN",".301","1.18","19.6%","43.5%","36.8%","9.0%","10.3%","111","5.9%","38","28.1%","39.1%","33.8%","27.1%","12.5%","61.6%","25.9%"
"2002","NYM",".289","1.25","20.2%","44.4%","35.4%","12.9%","10.3%","140","7.2%","34","21.7%","43.4%","29.1%","27.5%","16.3%","63.4%","20.3%"
"2009","LAA",".322","1.20","18.8%","44.2%","37.0%","9.2%","10.3%","123","6.1%","37","33.3%","39.6%","33.7%","26.7%","14.6%","57.8%","27.6%"
"2002","LAD",".291","1.40","21.1%","46.0%","32.9%","12.0%","10.3%","137","6.5%","35","24.5%","40.9%","30.4%","28.7%","16.0%","65.2%","18.8%"
"2018","KCR",".293","1.14","22.7%","41.2%","36.1%","11.2%","10.2%","106","6.1%","16","24.2%","40.4%","33.8%","25.7%","16.8%","45.4%","37.8%"
"2002","PHI",".294","1.14","21.5%","41.9%","36.7%","12.2%","10.2%","107","5.8%","31","23.0%","42.1%","30.2%","27.7%","14.6%","59.2%","26.2%"
"2013","OAK",".289","0.90","20.9%","37.4%","41.7%","11.1%","10.2%","91","5.6%","17","33.3%","40.4%","36.1%","23.5%","15.8%","55.9%","28.4%"
"2005","COL",".307","1.33","22.3%","44.3%","33.4%","10.7%","10.2%","122","6.2%","20","13.3%","40.7%","31.1%","28.2%","15.2%","59.1%","25.7%"
"2012","CHC",".286","1.41","21.6%","45.9%","32.5%","8.9%","10.2%","121","6.4%","20","21.1%","38.5%","35.8%","25.7%","16.1%","56.3%","27.5%"
"2012","NYM",".298","1.38","22.3%","45.1%","32.6%","9.0%","10.2%","121","6.4%","14","13.3%","38.6%","35.0%","26.4%","16.1%","56.9%","27.0%"
"2018","MIA",".293","1.55","21.5%","47.8%","30.8%","11.0%","10.2%","138","7.1%","9","12.0%","38.1%","36.8%","25.1%","19.3%","47.6%","33.1%"
"2010","WSN",".294","1.34","17.3%","47.4%","35.3%","8.2%","10.1%","124","6.3%","31","19.7%","37.4%","37.4%","25.1%","16.8%","52.7%","30.6%"
"2016","LAA",".289","1.33","19.9%","45.6%","34.4%","9.5%","10.1%","103","5.1%","12","20.7%","38.7%","35.7%","25.6%","18.9%","50.8%","30.3%"
"2002","FLA",".301","1.37","21.6%","45.3%","33.1%","13.1%","10.1%","131","6.6%","21","17.2%","41.2%","29.2%","29.6%","16.1%","62.6%","21.3%"
"2015","MIA",".307","1.88","20.5%","51.9%","27.6%","8.4%","10.1%","153","6.9%","37","27.4%","33.1%","38.0%","28.9%","20.4%","52.5%","27.1%"
"2014","MIL",".293","1.28","20.3%","44.7%","35.0%","9.7%","10.1%","134","7.1%","32","24.2%","38.4%","33.9%","27.8%","18.7%","50.2%","31.1%"
"2009","CLE",".308","1.20","19.9%","43.6%","36.5%","8.4%","10.1%","99","5.2%","20","24.7%","41.9%","32.1%","26.0%","12.9%","59.0%","28.0%"
"2011","CLE",".297","1.26","19.1%","45.0%","35.8%","10.8%","10.1%","104","5.4%","16","25.0%","42.4%","34.8%","22.8%","22.6%","51.6%","25.8%"
"2015","DET",".322","1.24","22.6%","42.8%","34.5%","8.7%","10.1%","112","6.0%","22","29.7%","38.6%","34.6%","26.8%","17.3%","53.2%","29.5%"
"2006","OAK",".285","1.12","19.4%","42.5%","38.1%","11.0%","10.1%","107","5.5%","11","26.8%","38.9%","34.4%","26.7%","9.6%","64.6%","25.8%"
"2014","LAD",".318","1.54","21.1%","47.8%","31.1%","7.1%","10.1%","138","6.7%","30","25.9%","36.8%","34.6%","28.6%","17.7%","52.7%","29.5%"
"2015","SFG",".313","1.56","21.5%","47.9%","30.7%","6.2%","10.1%","144","6.8%","17","22.1%","35.2%","37.1%","27.6%","19.0%","53.3%","27.7%"
"2006","COL",".310","1.23","21.3%","43.5%","35.3%","7.7%","10.0%","129","6.7%","30","16.2%","37.7%","34.5%","27.9%","12.1%","62.1%","25.7%"
"2009","WSN",".302","1.23","18.8%","44.7%","36.5%","9.1%","10.0%","138","7.2%","27","20.9%","41.7%","33.4%","24.9%","16.3%","57.2%","26.5%"
"2009","CHC",".296","1.15","19.6%","43.0%","37.4%","8.6%","10.0%","98","5.3%","18","14.8%","39.7%","34.9%","25.4%","15.0%","57.8%","27.2%"
"2004","PIT",".298","1.52","19.2%","48.7%","32.1%","10.7%","10.0%","161","7.5%","14","11.2%","42.9%","29.7%","27.3%","15.5%","63.3%","21.2%"
"2004","TOR",".298","1.42","21.4%","46.1%","32.5%","11.4%","10.0%","128","6.2%","9","19.6%","41.4%","30.6%","28.0%","14.8%","58.8%","26.4%"
"2002","MIL",".294","1.43","20.3%","46.9%","32.8%","8.7%","10.0%","120","6.0%","31","20.1%","39.4%","29.5%","31.1%","16.0%","63.6%","20.4%"
"2015","STL",".303","1.42","21.5%","46.0%","32.5%","9.3%","10.0%","125","6.4%","13","18.1%","37.8%","35.7%","26.5%","18.9%","51.0%","30.1%"
"2010","FLA",".309","1.22","18.2%","45.0%","36.8%","9.3%","10.0%","133","7.1%","21","20.8%","40.7%","35.5%","23.8%","18.0%","50.6%","31.4%"
"2016","MIA",".314","1.64","21.6%","48.7%","29.7%","8.5%","10.0%","157","7.5%","16","17.0%","35.5%","36.9%","27.5%","20.5%","49.6%","29.9%"
"2011","DET",".318","1.07","20.9%","40.9%","38.3%","9.9%","10.0%","111","6.1%","21","22.6%","40.6%","33.4%","26.0%","21.1%","53.4%","25.5%"
"2005","HOU",".288","1.17","19.4%","43.5%","37.0%","12.6%","9.9%","154","8.1%","47","27.6%","43.5%","30.6%","25.9%","17.6%","57.7%","24.7%"
"2006","SEA",".300","1.21","18.8%","44.4%","36.8%","12.6%","9.9%","166","7.9%","10","16.7%","42.1%","31.9%","25.9%","10.5%","62.1%","27.4%"
"2008","CLE",".305","1.01","20.4%","40.0%","39.7%","10.2%","9.9%","111","6.4%","16","21.3%","45.1%","30.5%","24.4%","15.1%","54.4%","30.5%"
"2004","ANA",".312","1.29","20.3%","44.9%","34.8%","10.1%","9.9%","149","7.1%","37","27.6%","43.0%","28.9%","28.1%","14.5%","61.0%","24.5%"
"2007","CLE",".310","1.01","18.4%","41.0%","40.6%","7.1%","9.9%","98","5.4%","16","28.1%","41.9%","32.5%","25.6%","15.4%","48.7%","35.9%"
"2012","SEA",".276","1.21","21.3%","43.0%","35.7%","12.3%","9.9%","115","6.3%","19","25.7%","40.3%","33.8%","26.0%","17.1%","55.8%","27.2%"
"2021","ARI",".293","1.17","20.8%","42.8%","36.4%","10.8%","9.9%","93","6.2%","13","24.1%","40.5%","34.1%","25.5%","16.8%","50.6%","32.6%"
"2010","SFG",".293","1.19","17.9%","44.7%","37.4%","9.3%","9.9%","122","6.2%","18","15.5%","40.7%","34.4%","24.9%","17.7%","51.6%","30.8%"
"2008","BOS",".315","1.07","20.0%","41.4%","38.6%","9.2%","9.9%","132","7.0%","33","45.2%","43.2%","32.8%","24.0%","15.2%","56.1%","28.7%"
"2008","BAL",".296","1.12","19.3%","42.7%","38.0%","11.4%","9.9%","128","6.5%","15","27.3%","40.1%","32.5%","27.4%","17.8%","55.4%","26.9%"
"2010","PHI",".292","1.20","18.1%","44.7%","37.2%","8.4%","9.8%","123","6.1%","14","18.7%","40.4%","36.7%","22.9%","18.2%","51.9%","30.0%"
"2005","LAD",".290","1.25","21.2%","43.8%","35.0%","11.8%","9.8%","107","5.6%","20","20.2%","43.5%","29.3%","27.1%","16.0%","56.5%","27.6%"
"2008","LAA",".299","1.31","18.0%","46.5%","35.5%","10.6%","9.8%","148","7.0%","23","27.7%","42.3%","31.9%","25.8%","16.3%","58.1%","25.6%"
"2005","TBD",".306","1.27","20.3%","44.6%","35.1%","10.3%","9.8%","123","6.1%","28","28.9%","42.3%","31.0%","26.7%","13.4%","59.9%","26.6%"
"2011","FLA",".291","1.24","20.0%","44.2%","35.8%","10.5%","9.8%","126","6.7%","31","19.7%","39.6%","36.0%","24.3%","24.2%","51.4%","24.4%"
"2013","PHI",".293","1.35","21.0%","45.4%","33.6%","10.5%","9.8%","122","6.3%","20","20.2%","40.1%","36.4%","23.5%","16.4%","54.3%","29.3%"
"2006","BAL",".302","1.25","19.8%","44.6%","35.6%","10.5%","9.8%","114","5.4%","36","33.0%","40.7%","33.5%","25.8%","10.7%","61.6%","27.7%"
"2018","SFG",".299","1.34","22.1%","44.6%","33.3%","9.6%","9.8%","118","6.5%","12","16.4%","38.3%","34.9%","26.8%","18.0%","45.9%","36.2%"
"2002","SEA",".307","1.31","21.8%","44.3%","33.8%","10.4%","9.8%","165","8.1%","27","29.3%","38.9%","29.8%","31.3%","14.6%","62.8%","22.6%"
"2009","STL",".296","1.21","18.2%","44.7%","37.0%","9.8%","9.8%","127","6.4%","21","18.4%","40.9%","34.1%","25.0%","15.1%","58.1%","26.8%"
"2007","DET",".323","1.09","20.0%","41.7%","38.4%","9.1%","9.8%","113","5.7%","11","19.3%","43.8%","31.9%","24.2%","17.3%","49.4%","33.4%"
"2010","TEX",".307","1.27","18.8%","45.4%","35.8%","8.6%","9.8%","150","7.1%","37","30.3%","37.3%","36.5%","26.2%","16.4%","52.8%","30.7%"
"2004","BAL",".309","1.19","20.7%","43.2%","36.2%","10.7%","9.8%","165","8.0%","29","29.0%","45.8%","28.8%","25.5%","14.7%","57.9%","27.4%"
"2015","CLE",".299","1.33","21.5%","44.8%","33.7%","11.1%","9.8%","119","6.2%","24","25.8%","40.7%","34.4%","24.9%","19.0%","52.7%","28.2%"
"2013","NYY",".285","1.24","21.4%","43.6%","35.0%","12.0%","9.7%","125","6.8%","26","31.3%","38.5%","36.9%","24.6%","18.0%","52.9%","29.1%"
"2008","ARI",".299","1.00","20.6%","39.7%","39.7%","11.2%","9.7%","90","5.5%","12","11.7%","40.4%","32.3%","27.3%","17.6%","54.8%","27.6%"
"2009","CIN",".282","1.14","18.5%","43.5%","38.0%","10.7%","9.7%","108","5.8%","47","26.1%","38.8%","34.9%","26.3%","17.2%","56.1%","26.7%"
"2012","MIN",".298","1.61","21.1%","48.7%","30.2%","10.0%","9.7%","151","6.9%","34","32.7%","37.8%","37.0%","25.2%","16.0%","57.7%","26.3%"
"2011","CHC",".301","1.26","20.0%","44.7%","35.3%","10.8%","9.7%","149","7.7%","23","20.7%","40.0%","36.5%","23.5%","24.2%","51.9%","23.9%"
"2011","LAA",".288","1.20","19.1%","44.2%","36.7%","12.2%","9.7%","145","7.5%","48","33.6%","39.6%","35.8%","24.6%","25.0%","51.8%","23.2%"
"2014","MIA",".316","1.59","20.2%","49.1%","30.8%","8.6%","9.7%","124","6.2%","29","23.6%","35.2%","36.6%","28.3%","16.7%","51.5%","31.8%"
