"Season","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2007","ARI",".282","1.00","17.6%","41.3%","41.1%","12.6%","9.7%","114","6.4%","14","15.2%","41.6%","33.5%","24.9%","19.6%","47.8%","32.5%"
"2010","TBR",".293","1.06","17.6%","42.5%","39.9%","9.6%","9.6%","128","7.2%","39","44.3%","43.2%","34.0%","22.8%","17.9%","52.1%","30.0%"
"2014","DET",".319","1.18","22.2%","42.2%","35.6%","8.0%","9.6%","120","6.3%","16","30.8%","42.1%","33.4%","24.5%","16.2%","51.9%","31.8%"
"2009","FLA",".316","1.10","19.7%","42.1%","38.2%","10.3%","9.6%","127","7.0%","27","20.9%","40.8%","33.4%","25.7%","15.9%","56.5%","27.6%"
"2010","LAA",".281","1.24","17.0%","45.9%","37.0%","6.9%","9.6%","125","6.2%","46","33.3%","37.9%","36.7%","25.4%","16.6%","54.9%","28.5%"
"2014","NYY",".282","1.25","21.2%","43.8%","35.0%","10.0%","9.6%","120","6.3%","17","27.0%","41.9%","34.3%","23.8%","17.5%","54.5%","27.9%"
"2009","LAD",".309","1.35","21.1%","45.3%","33.6%","7.6%","9.6%","135","6.6%","20","13.8%","37.0%","35.4%","27.5%","15.6%","58.8%","25.6%"
"2006","MIN",".316","1.49","21.3%","47.0%","31.6%","9.4%","9.6%","143","6.4%","29","29.9%","36.6%","35.8%","27.5%","12.4%","62.3%","25.3%"
"2004","MON",".273","1.31","19.4%","45.7%","34.9%","12.5%","9.6%","118","5.7%","29","18.4%","42.8%","29.1%","28.1%","15.4%","62.0%","22.5%"
"2004","MIL",".300","1.33","20.6%","45.3%","34.1%","10.5%","9.6%","113","6.0%","31","25.2%","42.1%","28.7%","29.1%","13.9%","60.7%","25.3%"
"2004","FLA",".295","1.30","19.8%","45.3%","34.9%","11.9%","9.5%","143","7.1%","51","29.7%","41.8%","28.3%","29.9%","14.9%","60.8%","24.3%"
"2008","SDP",".294","1.14","19.8%","42.8%","37.4%","8.6%","9.5%","96","5.2%","12","14.3%","40.8%","33.9%","25.3%","16.8%","56.0%","27.1%"
"2015","PHI",".299","1.39","22.2%","45.3%","32.5%","8.8%","9.5%","130","6.8%","31","25.0%","38.0%","36.9%","25.1%","19.8%","54.5%","25.7%"
"2008","LAD",".301","1.43","21.4%","46.2%","32.4%","8.5%","9.5%","138","6.7%","25","21.9%","38.1%","34.2%","27.7%","15.7%","59.5%","24.8%"
"2005","MIN",".291","1.61","19.0%","50.0%","31.0%","9.7%","9.5%","142","6.2%","36","35.3%","39.9%","30.3%","29.8%","14.8%","59.8%","25.3%"
"2010","CHC",".304","1.21","18.8%","44.4%","36.8%","7.2%","9.5%","119","6.3%","10","10.6%","38.2%","34.7%","27.1%","18.2%","50.6%","31.2%"
"2009","SEA",".293","1.17","17.4%","44.4%","38.1%","10.2%","9.5%","148","7.5%","33","30.0%","43.4%","32.2%","24.5%","17.6%","57.8%","24.7%"
"2021","PIT",".287","1.33","21.5%","44.8%","33.6%","7.9%","9.4%","115","7.3%","17","31.5%","37.5%","36.9%","25.6%","18.5%","52.3%","29.1%"
"2007","OAK",".290","1.00","19.1%","40.4%","40.5%","11.2%","9.4%","102","5.6%","12","25.0%","40.4%","34.8%","24.8%","18.7%","51.5%","29.8%"
"2009","HOU",".293","1.40","18.0%","47.9%","34.1%","10.5%","9.4%","132","6.2%","36","26.3%","38.1%","35.8%","26.1%","15.8%","58.3%","25.9%"
"2012","MIA",".289","1.28","20.5%","44.6%","34.9%","9.5%","9.4%","120","6.4%","33","24.6%","38.4%","36.2%","25.4%","16.0%","55.7%","28.2%"
"2006","SDP",".299","1.10","19.6%","42.2%","38.3%","9.2%","9.4%","100","5.3%","21","19.6%","39.8%","34.3%","26.0%","10.7%","61.0%","28.3%"
"2014","SEA",".290","1.30","20.8%","44.7%","34.5%","9.1%","9.4%","133","7.1%","22","25.0%","39.7%","34.1%","26.2%","18.1%","52.9%","29.0%"
"2007","HOU",".291","1.11","17.6%","43.4%","39.0%","12.0%","9.4%","121","6.1%","21","17.5%","39.3%","33.5%","27.2%","19.7%","51.3%","29.0%"
"2007","SDP",".291","0.97","18.4%","40.1%","41.5%","8.0%","9.4%","89","5.1%","17","17.0%","42.0%","33.3%","24.7%","16.2%","51.6%","32.1%"
"2013","LAD",".308","1.29","22.4%","43.8%","33.9%","9.9%","9.4%","123","6.5%","26","21.3%","37.6%","35.8%","26.6%","15.5%","53.2%","31.3%"
"2013","CHW",".291","1.17","21.8%","42.2%","36.0%","9.9%","9.4%","101","5.5%","14","34.1%","39.0%","35.5%","25.6%","17.2%","55.9%","26.9%"
"2002","BAL",".271","1.05","19.8%","41.0%","39.2%","14.7%","9.4%","114","6.2%","19","19.8%","48.1%","26.7%","25.2%","16.3%","61.0%","22.7%"
"2012","CLE",".288","1.42","20.9%","46.4%","32.7%","9.9%","9.4%","107","5.2%","22","45.8%","41.7%","34.0%","24.3%","15.1%","59.1%","25.9%"
"2010","STL",".296","1.29","18.7%","45.8%","35.5%","9.0%","9.4%","115","5.5%","9","9.1%","38.0%","35.8%","26.2%","17.7%","52.7%","29.6%"
"2004","KCR",".293","1.27","18.3%","45.8%","36.0%","11.8%","9.3%","132","6.5%","28","30.8%","44.5%","28.5%","27.0%","14.7%","62.4%","22.9%"
"2006","SFG",".282","1.14","18.2%","43.6%","38.2%","12.9%","9.3%","111","5.6%","17","13.9%","43.1%","35.7%","21.2%","10.8%","63.5%","25.6%"
"2006","ARI",".294","1.21","19.2%","44.2%","36.6%","12.5%","9.3%","113","5.5%","15","14.6%","40.7%","34.3%","25.0%","12.5%","60.6%","26.9%"
"2003","BAL",".293","1.23","23.6%","42.2%","34.3%","13.1%","9.3%","116","5.8%","22","25.3%","45.9%","26.2%","28.0%","17.0%","59.3%","23.7%"
"2012","SDP",".297","1.54","20.2%","48.4%","31.4%","8.4%","9.3%","123","6.1%","36","26.7%","37.2%","37.3%","25.5%","15.1%","56.4%","28.4%"
"2015","OAK",".288","1.30","19.8%","45.3%","34.9%","10.0%","9.3%","162","8.0%","11","29.7%","39.3%","35.2%","25.5%","19.3%","54.9%","25.9%"
"2011","PHI",".283","1.24","19.4%","44.5%","36.0%","10.1%","9.3%","102","5.0%","15","16.9%","40.8%","36.0%","23.2%","23.3%","52.6%","24.1%"
"2003","SEA",".306","1.35","22.6%","44.5%","32.9%","9.6%","9.2%","138","6.8%","19","25.3%","39.5%","27.2%","33.3%","14.9%","61.4%","23.7%"
"2014","CLE",".296","1.22","22.1%","42.9%","35.1%","8.8%","9.2%","108","5.7%","31","32.0%","42.8%","32.5%","24.7%","17.5%","54.5%","28.0%"
"2018","DET",".293","1.20","22.4%","42.3%","35.2%","11.0%","9.2%","132","7.5%","18","33.3%","41.1%","33.2%","25.7%","17.9%","46.0%","36.1%"
"2005","PIT",".297","1.35","20.7%","45.6%","33.7%","9.3%","9.2%","144","7.1%","23","20.7%","42.8%","31.2%","26.0%","14.7%","60.0%","25.3%"
"2002","PIT",".281","1.15","21.1%","42.1%","36.7%","11.6%","9.2%","101","5.7%","20","15.7%","43.0%","29.1%","27.9%","15.9%","63.8%","20.3%"
"2011","CHW",".280","1.16","19.3%","43.3%","37.4%","11.9%","9.2%","114","5.9%","35","28.9%","43.7%","31.8%","24.5%","24.4%","52.7%","22.8%"
"2009","ATL",".300","1.20","20.1%","43.5%","36.4%","7.5%","9.2%","91","4.7%","25","16.7%","40.1%","35.0%","24.9%","14.9%","56.8%","28.3%"
"2007","SEA",".313","1.37","18.4%","47.1%","34.5%","10.4%","9.2%","198","8.7%","19","32.8%","40.7%","34.6%","24.7%","19.5%","49.9%","30.6%"
"2009","BAL",".300","1.17","18.0%","44.2%","37.8%","9.8%","9.2%","136","6.7%","14","33.3%","40.8%","32.3%","26.9%","15.9%","57.8%","26.3%"
"2006","LAA",".301","1.20","18.6%","44.5%","36.9%","9.6%","9.2%","120","5.7%","17","22.7%","41.4%","32.8%","25.8%","10.8%","62.7%","26.5%"
"2016","ATL",".305","1.52","21.2%","47.5%","31.3%","7.6%","9.1%","117","5.8%","21","17.4%","34.5%","36.5%","29.0%","18.8%","51.8%","29.4%"
"2002","SDP",".288","1.34","21.5%","44.9%","33.6%","10.0%","9.1%","125","6.3%","20","21.5%","40.3%","29.0%","30.7%","12.5%","66.2%","21.2%"
"2006","PIT",".310","1.25","20.2%","44.3%","35.5%","11.4%","9.1%","137","7.1%","25","22.5%","39.8%","34.5%","25.7%","11.4%","64.4%","24.2%"
"2003","TBD",".301","1.41","21.2%","46.0%","32.7%","13.9%","9.1%","159","7.5%","42","38.9%","44.1%","27.8%","28.1%","16.4%","61.3%","22.3%"
"2007","CHC",".308","1.24","19.2%","44.7%","36.1%","7.8%","9.1%","128","6.2%","14","16.9%","39.1%","33.6%","27.3%","17.5%","51.2%","31.4%"
"2007","BOS",".315","1.04","18.1%","41.8%","40.1%","9.0%","9.1%","114","6.0%","25","31.6%","41.4%","34.4%","24.2%","15.1%","48.4%","36.5%"
"2014","CIN",".284","1.24","21.1%","43.8%","35.1%","10.4%","9.1%","116","6.5%","29","18.8%","39.7%","34.0%","26.3%","19.3%","53.7%","26.9%"
"2007","TOR",".290","1.00","19.6%","40.1%","40.3%","10.6%","9.1%","92","5.1%","14","24.6%","40.7%","35.1%","24.1%","17.5%","48.5%","34.0%"
"2014","ATL",".298","1.37","20.8%","45.8%","33.4%","7.5%","9.0%","113","6.1%","17","16.7%","38.9%","34.9%","26.2%","18.3%","52.1%","29.7%"
"2003","SDP",".301","1.41","23.2%","45.0%","31.9%","10.4%","9.0%","114","5.7%","17","17.2%","41.4%","27.8%","30.7%","16.2%","59.3%","24.5%"
"2006","LAD",".307","1.21","19.7%","44.0%","36.3%","8.6%","9.0%","125","6.1%","26","22.4%","39.9%","34.4%","25.7%","10.7%","62.2%","27.1%"
"2003","ANA",".291","1.14","23.1%","40.9%","36.0%","12.2%","9.0%","91","4.8%","30","25.6%","43.8%","27.4%","28.8%","16.2%","62.5%","21.3%"
"2008","PIT",".290","1.15","20.5%","42.4%","37.1%","10.1%","9.0%","115","5.9%","17","14.7%","41.4%","34.0%","24.6%","16.9%","57.8%","25.4%"
"2013","ARI",".301","1.48","20.9%","47.2%","31.9%","9.2%","9.0%","111","5.2%","20","21.7%","36.2%","36.5%","27.3%","15.5%","53.9%","30.6%"
"2010","DET",".311","1.13","19.2%","42.8%","37.9%","9.6%","8.9%","141","7.3%","23","26.1%","40.2%","33.2%","26.6%","17.2%","51.3%","31.5%"
"2012","KCR",".302","1.44","21.8%","46.1%","32.0%","10.8%","8.9%","125","5.9%","25","30.1%","38.5%","35.7%","25.7%","15.3%","57.6%","27.1%"
"2009","SDP",".284","1.17","18.5%","44.0%","37.5%","10.9%","8.9%","119","6.4%","32","23.2%","41.1%","33.5%","25.4%","16.1%","58.5%","25.5%"
"2009","KCR",".298","1.25","18.0%","45.5%","36.5%","9.8%","8.9%","105","5.2%","21","25.3%","38.0%","34.0%","28.0%","15.5%","60.0%","24.6%"
"2003","NYM",".282","1.42","21.3%","46.1%","32.6%","9.9%","8.9%","124","6.3%","39","25.8%","43.3%","26.5%","30.2%","16.9%","61.1%","22.0%"
"2013","STL",".314","1.43","23.2%","45.2%","31.5%","8.7%","8.9%","114","5.7%","13","14.4%","37.2%","36.1%","26.7%","14.8%","53.9%","31.3%"
"2015","KCR",".301","1.31","21.7%","44.4%","33.9%","9.6%","8.9%","129","6.3%","21","29.2%","39.0%","35.8%","25.2%","18.6%","53.4%","28.0%"
"2016","SFG",".299","1.38","21.6%","45.5%","33.0%","9.7%","8.8%","120","5.9%","20","23.0%","36.6%","35.6%","27.8%","20.2%","50.7%","29.0%"
"2005","OAK",".281","1.18","20.9%","42.8%","36.4%","11.2%","8.8%","126","6.1%","14","33.3%","42.7%","30.5%","26.8%","14.5%","56.8%","28.7%"
"2010","MIN",".306","1.32","18.6%","46.4%","35.0%","8.0%","8.8%","133","6.2%","22","27.2%","38.0%","36.1%","25.9%","15.8%","52.8%","31.4%"
"2010","ATL",".301","1.22","18.7%","44.6%","36.7%","7.8%","8.8%","125","6.5%","21","18.8%","38.9%","36.0%","25.1%","16.8%","51.4%","31.8%"
"2002","KCR",".282","1.24","21.6%","43.4%","35.0%","10.9%","8.8%","115","5.8%","48","35.3%","41.2%","29.3%","29.5%","14.3%","64.2%","21.5%"
"2014","SDP",".277","1.55","20.4%","48.4%","31.2%","9.1%","8.8%","102","5.3%","20","17.5%","39.5%","34.7%","25.7%","19.1%","53.4%","27.5%"
"2014","PHI",".292","1.37","21.2%","45.6%","33.2%","9.5%","8.7%","104","5.3%","17","18.3%","42.0%","33.3%","24.7%","19.3%","54.8%","25.9%"
"2017","SFG",".294","1.39","19.4%","46.9%","33.7%","9.4%","8.7%","126","6.2%","25","31.3%","37.0%","37.4%","25.6%","20.3%","51.6%","28.1%"
"2004","SEA",".308","1.42","19.3%","47.3%","33.4%","12.1%","8.7%","157","7.1%","23","26.1%","39.4%","30.5%","30.1%","14.7%","61.1%","24.2%"
"2003","LAD",".275","1.43","21.5%","46.2%","32.3%","12.9%","8.7%","124","6.1%","41","24.6%","43.3%","26.9%","29.8%","17.7%","62.4%","19.8%"
"2013","NYM",".291","1.23","19.9%","44.2%","35.9%","10.3%","8.7%","121","6.6%","23","22.1%","36.2%","35.8%","28.0%","18.5%","52.1%","29.5%"
"2004","TBD",".286","1.24","18.2%","45.2%","36.6%","12.1%","8.7%","144","7.0%","24","30.8%","44.0%","29.2%","26.8%","13.7%","61.5%","24.8%"
"2004","ARI",".286","1.30","20.5%","44.8%","34.6%","12.5%","8.7%","110","5.5%","24","20.2%","40.6%","30.6%","28.7%","15.7%","59.0%","25.3%"
"2014","SFG",".304","1.24","20.5%","44.0%","35.6%","9.4%","8.6%","102","5.4%","15","20.5%","38.6%","35.7%","25.7%","19.0%","53.3%","27.7%"
"2008","ATL",".309","1.35","22.0%","44.8%","33.2%","9.3%","8.6%","121","5.9%","26","19.4%","38.5%","34.9%","26.6%","17.1%","54.2%","28.7%"
"2012","LAD",".298","1.46","22.0%","46.3%","31.7%","9.2%","8.6%","130","6.6%","25","16.6%","36.6%","36.9%","26.4%","17.0%","56.6%","26.5%"
"2014","MIN",".309","1.25","21.1%","43.8%","35.1%","9.9%","8.6%","141","7.6%","22","33.8%","41.8%","32.8%","25.5%","18.3%","53.0%","28.7%"
"2010","SDP",".290","1.25","18.2%","45.5%","36.3%","11.8%","8.6%","118","6.1%","27","18.8%","39.1%","35.8%","25.2%","21.3%","51.2%","27.5%"
"2002","TBD",".293","1.29","20.5%","44.8%","34.7%","13.7%","8.6%","132","6.6%","30","29.4%","43.5%","28.3%","28.2%","15.9%","63.9%","20.1%"
"2005","FLA",".304","1.34","22.6%","44.4%","33.0%","13.9%","8.6%","136","6.8%","53","28.0%","41.2%","30.2%","28.5%","19.0%","53.3%","27.7%"
"2005","SEA",".289","1.35","20.5%","45.7%","33.8%","11.0%","8.5%","137","6.6%","19","21.6%","39.8%","30.7%","29.4%","16.0%","56.9%","27.0%"
"2008","WSN",".292","1.52","21.0%","47.6%","31.3%","11.5%","8.5%","143","6.9%","23","19.3%","38.1%","36.3%","25.6%","17.9%","55.5%","26.6%"
"2005","TOR",".296","1.31","21.0%","44.8%","34.2%","12.3%","8.5%","117","5.6%","9","24.3%","42.2%","30.3%","27.5%","13.6%","60.2%","26.2%"
"2014","ARI",".293","1.49","21.0%","47.3%","31.8%","8.9%","8.5%","129","6.2%","16","16.8%","36.6%","36.5%","26.9%","17.7%","53.8%","28.5%"
"2005","LAA",".294","1.17","20.6%","42.9%","36.6%","11.3%","8.4%","109","5.3%","22","22.7%","43.1%","29.5%","27.5%","16.8%","57.4%","25.8%"
"2007","PIT",".303","1.06","18.6%","42.0%","39.5%","8.7%","8.4%","125","6.7%","23","22.1%","39.3%","34.4%","26.2%","19.1%","51.1%","29.8%"
"2006","KCR",".311","1.46","19.8%","47.6%","32.5%","10.4%","8.4%","144","6.7%","31","27.0%","37.8%","34.3%","27.9%","14.2%","56.6%","29.2%"
"2004","SDP",".301","1.24","20.9%","43.8%","35.3%","10.4%","8.4%","117","5.7%","22","23.4%","39.6%","31.2%","29.2%","14.8%","59.3%","25.9%"
"2010","PIT",".288","1.29","17.0%","46.8%","36.2%","10.4%","8.3%","145","7.4%","19","18.4%","39.3%","36.1%","24.6%","17.9%","51.2%","30.9%"
"2014","BOS",".297","1.25","21.1%","43.8%","35.1%","9.7%","8.2%","116","6.2%","8","20.5%","42.1%","34.2%","23.7%","16.9%","51.1%","32.0%"
"2005","WSN",".293","1.39","21.2%","45.8%","33.0%","11.9%","8.2%","105","5.3%","22","14.9%","41.4%","30.4%","28.2%","17.5%","55.3%","27.2%"
"2010","LAD",".299","1.31","20.3%","45.1%","34.5%","9.2%","8.2%","119","6.2%","23","17.0%","36.6%","37.0%","26.3%","18.3%","52.9%","28.7%"
"2002","ANA",".303","1.04","22.5%","39.4%","38.1%","11.0%","8.2%","127","6.6%","30","29.1%","43.3%","29.1%","27.6%","14.6%","64.1%","21.3%"
"2014","TEX",".305","1.50","20.2%","47.9%","31.8%","9.2%","8.1%","136","6.6%","34","33.7%","39.1%","35.6%","25.3%","19.3%","53.2%","27.5%"
"2007","STL",".303","1.16","18.9%","43.6%","37.5%","9.8%","8.1%","125","6.2%","17","16.2%","40.5%","33.1%","26.3%","17.9%","52.6%","29.5%"
"2014","NYM",".286","1.14","21.4%","42.0%","36.7%","9.1%","8.1%","107","6.1%","22","21.6%","40.4%","33.6%","26.0%","18.0%","52.1%","29.9%"
"2010","BAL",".296","1.25","17.7%","45.8%","36.5%","9.6%","8.1%","115","5.6%","22","31.0%","37.9%","36.3%","25.8%","18.7%","54.1%","27.2%"
"2007","WSN",".300","1.31","19.1%","46.0%","35.0%","10.0%","8.1%","115","5.7%","15","11.7%","37.8%","36.2%","26.0%","19.0%","51.0%","30.0%"
"2005","SDP",".289","1.18","22.1%","42.1%","35.8%","11.8%","8.0%","101","5.3%","34","25.8%","43.0%","30.8%","26.2%","17.8%","54.7%","27.5%"
"2015","ATL",".297","1.70","21.6%","49.4%","29.0%","9.4%","8.0%","145","6.8%","15","12.7%","36.6%","36.0%","27.4%","19.7%","55.4%","24.9%"
"2009","PIT",".296","1.23","18.5%","45.0%","36.5%","10.1%","8.0%","102","5.3%","19","18.4%","40.1%","34.7%","25.2%","16.6%","58.2%","25.2%"
"2010","CLE",".293","1.20","18.2%","44.6%","37.2%","9.7%","8.0%","104","5.4%","23","29.1%","42.1%","34.1%","23.8%","17.4%","52.6%","30.0%"
"2005","SFG",".290","1.26","20.7%","44.2%","35.1%","11.5%","8.0%","114","5.7%","30","20.3%","43.3%","32.3%","24.4%","15.0%","58.2%","26.8%"
"2014","OAK",".278","0.95","20.1%","38.8%","41.1%","10.6%","8.0%","125","7.3%","26","41.3%","41.7%","34.2%","24.1%","18.2%","55.0%","26.8%"
"2011","KCR",".311","1.31","20.0%","45.4%","34.6%","9.9%","8.0%","160","7.5%","30","27.8%","38.3%","35.4%","26.3%","25.3%","52.1%","22.7%"
"2007","BAL",".302","1.15","17.7%","43.9%","38.3%","10.6%","7.9%","129","6.3%","28","28.6%","39.0%","33.7%","27.4%","19.0%","50.4%","30.6%"
"2005","KCR",".298","1.26","19.9%","44.7%","35.4%","11.0%","7.9%","124","6.2%","13","15.5%","40.4%","30.6%","29.1%","13.9%","60.3%","25.8%"
"2011","LAD",".299","1.29","21.0%","44.5%","34.5%","10.5%","7.9%","124","6.4%","33","23.2%","36.3%","36.3%","27.4%","26.9%","53.7%","19.3%"
"2009","SFG",".302","1.26","18.8%","45.3%","35.9%","10.0%","7.8%","118","6.0%","24","19.5%","38.4%","34.5%","27.1%","16.2%","57.8%","26.0%"
"2008","KCR",".307","1.38","20.0%","46.4%","33.6%","10.0%","7.8%","114","5.4%","25","23.6%","37.0%","34.1%","28.9%","17.8%","57.3%","24.9%"
"2013","KCR",".300","1.46","20.8%","47.0%","32.2%","10.7%","7.8%","140","6.7%","31","31.3%","39.2%","35.0%","25.8%","17.5%","54.9%","27.6%"
"2007","LAD",".303","1.30","18.7%","46.0%","35.3%","10.1%","7.7%","143","6.6%","35","23.8%","38.2%","35.3%","26.5%","19.3%","50.5%","30.2%"
"2002","DET",".283","1.16","20.3%","42.8%","36.9%","13.5%","7.7%","102","5.5%","21","22.8%","42.3%","29.7%","28.0%","14.5%","63.0%","22.4%"
"2007","SFG",".281","1.23","17.3%","45.6%","37.1%","11.1%","7.7%","101","4.8%","30","22.7%","39.9%","35.5%","24.7%","19.6%","51.4%","29.0%"
"2007","MIN",".291","1.51","17.1%","49.9%","33.0%","9.1%","7.7%","158","6.8%","36","37.1%","37.8%","35.4%","26.8%","17.5%","53.4%","29.1%"
"2014","TBR",".287","1.30","19.7%","45.3%","35.0%","9.6%","7.6%","133","6.7%","24","24.5%","42.3%","33.6%","24.0%","17.8%","54.5%","27.7%"
"2008","SEA",".294","1.35","19.6%","46.2%","34.2%","12.9%","7.6%","168","7.6%","12","17.4%","41.1%","31.9%","26.9%","18.0%","56.6%","25.4%"
"2008","TOR",".295","1.22","20.2%","43.8%","36.0%","9.8%","7.6%","118","5.9%","15","20.5%","39.8%","33.6%","26.6%","15.5%","57.0%","27.5%"
"2014","STL",".300","1.44","21.3%","46.5%","32.2%","8.7%","7.6%","110","5.5%","18","16.7%","36.4%","36.1%","27.5%","18.3%","51.2%","30.4%"
"2009","OAK",".298","1.05","19.4%","41.3%","39.3%","9.7%","7.5%","118","6.3%","13","24.1%","36.8%","34.7%","28.5%","16.4%","57.9%","25.7%"
"2011","SFG",".281","1.22","17.7%","45.3%","37.0%","11.6%","7.5%","127","6.5%","27","22.0%","40.3%","36.0%","23.7%","25.4%","51.7%","22.9%"
"2011","PIT",".301","1.29","20.4%","44.8%","34.8%","7.3%","7.5%","124","6.7%","21","17.8%","39.7%","35.7%","24.7%","23.3%","51.7%","25.0%"
"2008","OAK",".289","1.04","18.9%","41.3%","39.8%","12.5%","7.4%","93","5.3%","18","26.5%","39.6%","33.1%","27.3%","18.2%","57.8%","24.0%"
"2013","MIA",".280","1.58","21.1%","48.3%","30.6%","11.5%","7.4%","103","5.1%","12","10.9%","36.4%","36.5%","27.1%","18.1%","55.6%","26.3%"
"2010","NYM",".287","1.06","17.5%","42.5%","40.0%","9.5%","7.3%","108","5.8%","34","23.9%","37.0%","38.8%","24.2%","20.0%","51.2%","28.9%"
"2012","SFG",".315","1.48","22.1%","46.5%","31.4%","10.3%","7.3%","146","7.0%","23","19.2%","38.3%","34.8%","27.0%","15.7%","57.9%","26.4%"
"2007","LAA",".315","1.31","17.1%","47.1%","35.8%","10.4%","7.3%","142","6.4%","22","27.5%","40.8%","33.8%","25.4%","18.2%","53.0%","28.8%"
"2011","SEA",".283","1.26","18.6%","45.5%","36.0%","11.2%","7.3%","137","7.3%","17","23.6%","38.1%","35.0%","26.9%","25.4%","52.1%","22.4%"
"2013","SFG",".304","1.39","21.2%","45.9%","32.9%","9.0%","7.2%","141","6.9%","15","15.2%","37.2%","37.3%","25.5%","16.5%","56.3%","27.2%"
"2008","MIN",".316","1.38","20.0%","46.4%","33.6%","9.7%","7.2%","122","5.7%","69","39.9%","37.0%","33.6%","29.4%","15.9%","58.4%","25.7%"
"2010","HOU",".285","1.36","17.7%","47.5%","34.8%","9.8%","7.0%","144","6.9%","25","18.9%","37.1%","37.6%","25.3%","18.7%","54.9%","26.4%"
"2011","MIN",".288","1.44","18.5%","48.2%","33.4%","12.1%","7.0%","135","6.4%","36","37.9%","38.4%","36.2%","25.4%","27.4%","51.1%","21.5%"
"2010","KCR",".305","1.19","18.0%","44.5%","37.5%","9.0%","6.9%","127","6.1%","29","27.4%","38.3%","36.1%","25.7%","18.4%","53.6%","28.0%"
"2011","OAK",".283","1.07","20.8%","41.0%","38.2%","11.2%","6.8%","107","6.0%","21","28.4%","39.2%","36.4%","24.3%","22.5%","54.1%","23.4%"
"2007","KCR",".305","1.40","19.0%","47.2%","33.8%","9.7%","6.8%","138","6.6%","28","27.5%","36.0%","35.9%","28.1%","20.5%","49.2%","30.3%"
"2011","NYM",".307","1.17","20.9%","42.7%","36.4%","9.1%","6.6%","121","6.3%","21","19.6%","38.2%","36.8%","25.1%","24.4%","52.2%","23.4%"
"2011","SDP",".294","1.36","19.1%","46.6%","34.2%","9.0%","6.5%","145","7.6%","20","19.0%","39.0%","36.5%","24.5%","25.1%","53.3%","21.6%"
"2014","KCR",".302","1.46","20.8%","47.0%","32.3%","11.2%","6.5%","141","6.6%","27","32.5%","41.5%","32.7%","25.8%","19.5%","53.1%","27.4%"
"2011","HOU",".308","1.35","21.1%","45.4%","33.6%","11.3%","6.4%","139","7.0%","30","22.7%","37.6%","36.2%","26.2%","26.8%","51.4%","21.8%"
"2010","OAK",".297","1.10","19.2%","42.3%","38.5%","10.7%","6.4%","119","6.4%","20","25.6%","39.0%","36.2%","24.8%","18.9%","53.8%","27.4%"
"2010","SEA",".282","1.20","17.6%","44.9%","37.6%","11.2%","6.4%","154","8.2%","32","29.1%","38.4%","35.8%","25.7%","20.4%","54.6%","25.0%"
"2008","SFG",".305","1.48","18.8%","48.5%","32.7%","9.5%","6.4%","141","6.5%","24","21.1%","38.0%","35.5%","26.5%","15.6%","60.5%","23.9%"
"2009","NYM",".307","1.40","20.2%","46.6%","33.3%","9.8%","6.3%","111","5.3%","32","21.6%","36.3%","35.9%","27.8%","15.7%","60.8%","23.5%"
