"Season","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%"
"2002","OAK","15.0%","66.1%","42.8%","50.9%","86.6%","80.9%","54.3%","55.1%","8.2%","18.8%","27.0%"
"2004","NYY","15.4%","68.0%","43.1%","55.8%","86.5%","81.3%","52.6%","55.3%","8.0%","17.0%","25.0%"
"2002","ARI","15.6%","67.6%","43.7%","46.6%","86.3%","79.8%","54.0%","55.2%","8.8%","17.2%","26.0%"
"2002","KCR","15.9%","68.6%","45.3%","53.4%","88.4%","82.9%","55.8%","57.7%","7.8%","17.0%","24.8%"
"2002","SEA","16.0%","68.5%","44.0%","51.4%","87.4%","81.3%","53.4%","57.0%","8.2%","17.3%","25.5%"
"2002","SFG","16.4%","72.0%","46.8%","45.3%","86.2%","79.7%","54.8%","59.0%","9.4%","15.1%","24.5%"
"2002","PIT","16.4%","68.9%","45.9%","46.1%","83.9%","78.0%","56.2%","59.1%","10.0%","17.2%","27.2%"
"2005","PHI","16.7%","64.2%","42.3%","47.4%","88.4%","81.0%","53.8%","56.6%","8.0%","18.8%","26.7%"
"2002","CLE","16.8%","68.7%","45.1%","48.3%","86.2%","79.8%","54.5%","57.9%","9.1%","17.1%","26.2%"
"2005","BOS","17.0%","67.0%","43.8%","51.7%","89.4%","82.6%","53.6%","57.8%","7.6%","17.5%","25.1%"
"2002","CHW","17.1%","67.9%","44.3%","53.2%","87.3%","81.2%","53.5%","57.6%","8.3%","17.2%","25.6%"
"2002","ATL","17.1%","72.4%","47.4%","47.7%","84.6%","78.6%","54.8%","58.9%","10.1%","15.0%","25.0%"
"2004","CLE","17.3%","67.0%","43.4%","58.9%","87.1%","81.8%","52.6%","57.2%","7.8%","17.6%","25.4%"
"2002","PHI","17.4%","67.8%","44.3%","46.6%","86.3%","79.0%","53.4%","57.7%","9.2%","17.3%","26.6%"
"2005","NYY","17.6%","66.5%","43.3%","51.4%","89.1%","81.9%","52.6%","57.5%","7.8%","17.6%","25.4%"
"2002","HOU","17.6%","70.1%","45.9%","46.1%","85.0%","78.1%","54.0%","58.0%","10.0%","16.4%","26.4%"
"2004","BOS","17.7%","68.8%","44.2%","55.2%","86.0%","80.1%","51.9%","57.5%","8.7%","17.3%","26.0%"
"2002","NYY","17.8%","70.8%","45.4%","46.8%","84.6%","77.5%","52.2%","56.4%","10.2%","15.9%","26.1%"
"2002","BOS","17.8%","70.7%","46.4%","49.0%","87.6%","80.8%","54.1%","56.6%","8.9%","16.4%","25.3%"
"2002","STL","17.8%","69.6%","46.4%","53.0%","86.8%","81.0%","55.1%","58.0%","8.8%","16.6%","25.3%"
"2002","ANA","18.1%","69.9%","47.1%","55.1%","88.3%","82.7%","55.9%","58.8%","8.1%","16.7%","24.9%"
"2002","MIL","18.1%","70.9%","46.8%","43.8%","83.1%","76.2%","54.3%","59.8%","11.1%","15.8%","26.9%"
"2004","LAD","18.3%","68.3%","45.6%","55.5%","85.7%","80.2%","54.7%","57.4%","9.0%","17.3%","26.3%"
"2002","SDP","18.4%","70.1%","46.3%","48.7%","84.6%","78.1%","54.1%","58.8%","10.1%","16.1%","26.2%"
"2005","SDP","18.4%","65.8%","43.0%","54.8%","89.2%","82.1%","51.9%","57.4%","7.6%","17.9%","25.6%"
"2003","SEA","18.4%","66.1%","43.2%","49.6%","90.0%","81.7%","51.9%","57.8%","7.9%","18.4%","26.3%"
"2004","CHW","18.5%","71.0%","47.0%","57.6%","85.4%","80.4%","54.3%","60.9%","9.2%","16.1%","25.2%"
"2004","ATL","18.5%","71.6%","47.2%","58.9%","81.8%","77.7%","54.0%","58.9%","10.5%","15.3%","25.7%"
"2002","FLA","18.6%","69.0%","45.8%","48.1%","85.3%","78.3%","54.0%","57.7%","9.9%","16.7%","26.6%"
"2002","COL","18.6%","70.6%","47.5%","51.0%","85.4%","79.4%","55.6%","59.2%","9.8%","16.1%","25.9%"
"2002","CHC","18.6%","72.1%","46.9%","42.9%","82.3%","74.9%","52.9%","57.3%","11.7%","15.1%","26.8%"
"2004","PHI","18.7%","67.1%","44.0%","59.9%","85.5%","80.3%","52.4%","58.4%","8.6%","17.7%","26.3%"
"2002","CIN","18.7%","72.4%","47.8%","49.0%","82.1%","76.1%","54.2%","58.7%","11.3%","15.0%","26.3%"
"2005","LAD","18.7%","66.7%","44.5%","46.1%","87.8%","79.6%","53.7%","57.1%","9.0%","17.6%","26.6%"
"2005","NYM","18.7%","67.4%","46.0%","48.4%","87.9%","80.8%","56.0%","59.2%","8.7%","17.6%","26.3%"
"2004","CIN","18.8%","68.0%","44.2%","59.2%","81.2%","76.7%","51.6%","59.3%","10.3%","17.6%","27.8%"
"2002","TOR","18.9%","69.9%","46.3%","51.8%","84.5%","78.3%","53.7%","58.8%","10.0%","16.6%","26.6%"
"2002","NYM","18.9%","69.7%","46.8%","52.9%","85.2%","79.3%","54.9%","58.5%","9.7%","16.6%","26.3%"
"2002","BAL","18.9%","70.8%","47.3%","52.5%","87.1%","80.8%","54.8%","59.7%","9.1%","16.4%","25.5%"
"2004","SDP","19.1%","69.2%","44.9%","63.7%","87.4%","82.5%","51.5%","57.8%","7.8%","16.7%","24.5%"
"2002","MIN","19.2%","73.0%","48.6%","45.0%","84.7%","77.6%","54.7%","59.7%","10.9%","14.7%","25.6%"
"2004","TOR","19.2%","67.7%","44.8%","61.0%","85.6%","80.6%","52.8%","58.5%","8.7%","18.0%","26.6%"
"2002","TEX","19.3%","70.6%","46.9%","50.8%","84.9%","78.4%","53.8%","58.8%","10.1%","16.1%","26.2%"
"2004","NYM","19.3%","68.4%","45.7%","59.5%","84.3%","79.4%","53.6%","59.9%","9.3%","17.5%","26.8%"
"2007","OAK","19.4%","63.4%","42.3%","56.3%","87.6%","80.8%","52.1%","58.6%","8.1%","19.0%","27.1%"
"2004","STL","19.5%","70.5%","46.7%","59.4%","83.4%","78.7%","53.3%","60.4%","9.8%","16.0%","25.9%"
"2005","HOU","19.5%","69.2%","47.0%","49.5%","87.8%","80.7%","55.3%","60.2%","9.0%","16.5%","25.4%"
"2004","OAK","19.6%","66.5%","43.1%","65.1%","86.0%","81.3%","50.1%","56.9%","8.0%","18.3%","26.3%"
"2005","OAK","19.7%","62.8%","42.2%","64.7%","91.0%","85.1%","52.2%","59.7%","6.3%","20.3%","26.6%"
"2004","SEA","19.7%","69.1%","45.8%","61.7%","85.9%","81.0%","52.8%","58.6%","8.6%","17.1%","25.7%"
"2006","OAK","19.8%","64.4%","42.9%","61.7%","88.9%","82.9%","51.8%","57.2%","7.3%","18.2%","25.5%"
"2004","BAL","19.9%","68.1%","45.4%","62.8%","87.7%","82.6%","52.9%","56.9%","7.9%","17.4%","25.3%"
"2003","CHW","19.9%","68.7%","45.4%","54.1%","89.0%","81.7%","52.3%","58.1%","8.3%","17.4%","25.7%"
"2005","WSN","19.9%","67.6%","46.1%","46.3%","87.9%","79.8%","55.0%","59.9%","9.2%","17.3%","26.5%"
"2005","STL","19.9%","68.8%","46.5%","51.8%","88.7%","81.5%","54.4%","59.3%","8.5%","16.7%","25.2%"
"2005","ARI","20.0%","65.8%","43.9%","53.8%","86.9%","79.7%","52.1%","57.4%","8.8%","17.7%","26.6%"
"2002","LAD","20.1%","69.4%","47.2%","55.8%","87.4%","81.4%","54.9%","58.9%","8.8%","16.8%","25.6%"
"2003","NYY","20.1%","68.5%","44.2%","47.0%","87.9%","78.5%","49.7%","56.5%","9.5%","16.9%","26.4%"
"2003","CLE","20.3%","67.5%","45.1%","48.7%","88.0%","79.6%","52.5%","59.7%","9.2%","18.0%","27.2%"
"2003","BOS","20.3%","70.8%","46.1%","52.8%","90.0%","82.0%","51.0%","57.2%","8.2%","16.3%","24.5%"
"2005","FLA","20.3%","63.7%","44.0%","57.5%","88.6%","82.1%","54.5%","59.0%","7.8%","19.1%","26.9%"
"2003","PHI","20.3%","66.1%","43.4%","49.4%","86.5%","77.9%","50.5%","56.6%","9.6%","18.2%","27.8%"
"2006","CIN","20.3%","66.2%","44.1%","49.5%","87.1%","78.7%","51.9%","58.2%","9.3%","17.1%","26.4%"
"2005","CLE","20.3%","67.4%","45.3%","50.2%","88.4%","80.3%","53.0%","58.3%","8.9%","17.2%","26.1%"
"2007","BOS","20.4%","63.4%","42.3%","60.6%","89.1%","82.3%","50.9%","57.2%","7.4%","18.5%","25.9%"
"2004","SFG","20.4%","69.8%","45.3%","67.5%","86.0%","81.9%","50.5%","56.9%","8.0%","15.6%","23.6%"
"2005","ATL","20.5%","70.8%","47.4%","48.8%","86.2%","78.7%","53.5%","58.3%","10.0%","15.1%","25.1%"
"2006","NYY","20.6%","67.0%","44.4%","55.9%","89.1%","81.5%","51.2%","57.2%","8.1%","16.5%","24.7%"
"2003","NYM","20.7%","70.2%","46.8%","48.8%","86.9%","78.9%","52.8%","59.2%","9.9%","16.5%","26.4%"
"2007","COL","20.7%","67.1%","45.3%","61.0%","87.0%","81.4%","53.0%","59.3%","8.3%","16.8%","25.1%"
"2002","DET","20.8%","72.3%","49.3%","49.3%","84.7%","78.1%","55.4%","61.9%","10.8%","15.5%","26.3%"
"2002","TBD","20.8%","70.7%","47.6%","51.2%","85.1%","78.2%","53.7%","59.8%","10.3%","16.1%","26.4%"
"2005","COL","20.8%","68.8%","46.5%","54.1%","86.9%","80.1%","53.6%","59.5%","9.2%","16.5%","25.7%"
"2004","TBD","20.8%","69.9%","46.8%","60.1%","87.0%","81.4%","52.9%","60.2%","8.6%","16.6%","25.2%"
"2003","KCR","20.9%","68.9%","46.5%","54.5%","88.7%","81.5%","53.3%","59.3%","8.6%","17.3%","25.9%"
"2003","OAK","21.0%","62.4%","42.0%","58.9%","89.6%","82.1%","50.8%","55.3%","7.5%","20.3%","27.7%"
"2004","CHC","21.0%","73.4%","48.6%","59.2%","83.0%","78.1%","52.7%","59.3%","10.6%","14.3%","24.9%"
"2004","FLA","21.1%","66.1%","44.5%","65.5%","85.8%","81.2%","52.0%","58.2%","8.3%","18.6%","26.9%"
"2005","TOR","21.1%","67.3%","45.3%","56.1%","89.7%","82.2%","52.3%","58.7%","8.0%","17.8%","25.8%"
"2003","HOU","21.1%","71.5%","47.1%","43.3%","87.7%","78.1%","51.7%","59.8%","10.3%","15.8%","26.1%"
"2003","ATL","21.1%","71.5%","47.4%","48.8%","87.3%","79.1%","52.1%","59.1%","9.9%","15.5%","25.4%"
"2004","ANA","21.2%","71.0%","47.6%","58.3%","86.8%","80.8%","53.0%","58.3%","9.1%","15.7%","24.8%"
"2005","CHC","21.3%","71.5%","49.1%","52.2%","87.8%","80.9%","55.3%","59.9%","9.3%","15.1%","24.4%"
"2006","LAD","21.3%","67.2%","45.0%","58.5%","89.5%","82.4%","51.7%","58.1%","7.8%","16.3%","24.2%"
"2004","HOU","21.4%","70.6%","46.1%","63.8%","85.2%","80.2%","50.2%","58.9%","9.0%","16.0%","25.0%"
"2006","SDP","21.5%","66.5%","44.8%","55.7%","88.5%","80.9%","51.8%","58.9%","8.5%","16.8%","25.3%"
"2007","NYY","21.5%","63.6%","42.6%","62.7%","90.7%","83.7%","50.1%","55.4%","6.9%","17.9%","24.8%"
"2004","TEX","21.7%","71.0%","47.3%","55.7%","84.2%","77.9%","52.1%","58.8%","10.4%","15.8%","26.2%"
"2005","TEX","21.7%","70.1%","47.0%","49.9%","87.5%","79.2%","52.2%","58.2%","9.7%","15.9%","25.7%"
"2006","BOS","21.7%","64.0%","43.3%","57.1%","90.1%","82.0%","51.1%","57.9%","7.7%","18.1%","25.8%"
"2007","TOR","21.8%","64.1%","43.9%","56.9%","88.9%","81.3%","52.1%","57.4%","8.2%","18.5%","26.7%"
"2003","SFG","21.8%","70.4%","46.5%","53.8%","86.8%","79.2%","50.8%","58.0%","9.6%","15.4%","25.0%"
"2003","TEX","21.8%","70.1%","46.3%","44.1%","89.3%","78.8%","50.7%","58.2%","9.8%","17.0%","26.8%"
"2006","HOU","21.9%","67.3%","45.4%","56.3%","88.1%","80.7%","51.9%","58.2%","8.7%","16.4%","25.0%"
"2004","MIL","21.9%","66.9%","44.2%","61.3%","81.6%","76.5%","49.4%","57.8%","10.3%","17.8%","28.1%"
"2006","COL","22.0%","67.6%","46.4%","58.5%","87.8%","81.4%","53.5%","59.5%","8.5%","16.7%","25.3%"
"2007","ARI","22.0%","65.8%","44.5%","57.9%","87.0%","80.0%","51.2%","58.4%","8.8%","17.2%","26.0%"
"2003","CHC","22.1%","72.0%","47.7%","44.8%","86.0%","76.7%","51.4%","58.8%","11.1%","15.2%","26.2%"
"2006","CLE","22.2%","66.6%","45.3%","54.2%","86.8%","79.2%","52.0%","59.1%","9.4%","17.2%","26.5%"
"2009","BOS","22.2%","62.8%","41.9%","63.8%","88.3%","81.7%","48.5%","57.0%","7.6%","19.1%","26.7%"
"2008","TBR","22.2%","66.3%","44.3%","61.1%","86.1%","79.8%","50.2%","57.6%","8.9%","16.5%","25.4%"
"2003","BAL","22.2%","67.6%","46.2%","56.5%","89.6%","82.1%","52.8%","60.0%","8.3%","18.2%","26.5%"
"2003","FLA","22.3%","67.9%","46.3%","51.8%","88.6%","80.2%","52.7%","58.3%","9.2%","17.3%","26.5%"
"2006","PHI","22.3%","64.1%","43.7%","54.2%","88.8%","80.2%","51.1%","57.5%","8.6%","17.8%","26.4%"
"2003","COL","22.3%","69.0%","46.1%","52.2%","86.4%","78.3%","50.9%","59.0%","10.0%","16.7%","26.7%"
"2008","BOS","22.3%","63.1%","42.9%","63.9%","89.2%","82.7%","50.5%","57.8%","7.4%","18.3%","25.7%"
"2003","DET","22.3%","69.3%","46.9%","50.8%","87.3%","79.0%","52.4%","59.6%","9.9%","16.6%","26.5%"
"2003","TOR","22.4%","68.1%","45.4%","53.5%","87.3%","79.0%","50.3%","59.1%","9.5%","17.3%","26.8%"
"2005","SFG","22.4%","69.5%","47.7%","54.2%","89.8%","82.1%","53.7%","60.9%","8.5%","16.0%","24.5%"
"2005","CIN","22.4%","65.4%","43.4%","54.0%","85.9%","77.5%","48.9%","58.1%","9.7%","18.0%","27.7%"
"2003","ARI","22.4%","68.1%","45.8%","53.4%","88.1%","79.8%","51.1%","56.8%","9.2%","17.3%","26.5%"
"2008","OAK","22.5%","64.4%","43.8%","59.9%","85.1%","78.8%","51.0%","58.4%","9.3%","17.8%","27.1%"
"2003","MIL","22.5%","68.5%","45.8%","49.2%","85.5%","76.7%","50.7%","57.3%","10.7%","17.0%","27.7%"
"2004","COL","22.5%","72.1%","47.4%","59.8%","81.3%","76.2%","50.1%","58.9%","11.2%","14.9%","26.1%"
"2009","NYY","22.6%","64.7%","42.5%","66.3%","90.0%","83.4%","47.4%","56.6%","7.0%","18.0%","25.1%"
"2006","ARI","22.6%","65.1%","44.6%","62.7%","90.1%","83.4%","51.7%","57.8%","7.3%","17.5%","24.8%"
"2007","STL","22.7%","67.0%","46.1%","62.5%","89.8%","83.5%","52.8%","59.9%","7.6%","16.9%","24.5%"
"2009","TOR","22.7%","66.8%","44.5%","64.4%","89.3%","82.8%","49.3%","59.2%","7.6%","17.8%","25.3%"
"2009","COL","22.8%","66.1%","44.2%","59.6%","85.2%","78.5%","49.5%","58.2%","9.4%","17.7%","27.1%"
"2006","NYM","22.8%","65.3%","45.1%","58.9%","88.0%","81.0%","52.6%","58.0%","8.5%","17.7%","26.1%"
"2008","CLE","22.8%","64.5%","44.1%","58.1%","87.2%","79.9%","51.0%","56.5%","8.8%","17.8%","26.7%"
"2008","ARI","22.8%","64.3%","43.8%","57.0%","84.8%","77.6%","50.5%","57.2%","9.7%","17.5%","27.2%"
"2007","CLE","22.8%","65.2%","44.2%","58.2%","87.8%","80.2%","50.5%","58.0%","8.7%","17.3%","26.0%"
"2009","MIL","22.9%","63.7%","43.1%","58.2%","86.6%","79.0%","49.5%","57.8%","9.0%","18.6%","27.6%"
"2007","SFG","22.9%","65.7%","45.3%","62.7%","90.1%","83.5%","52.5%","58.5%","7.4%","17.3%","24.7%"
"2006","MIL","22.9%","65.4%","45.3%","49.3%","86.1%","77.3%","52.8%","59.2%","10.2%","17.8%","28.0%"
"2009","TBR","23.0%","65.7%","43.8%","60.3%","86.1%","79.2%","48.8%","57.3%","9.0%","17.0%","26.0%"
"2009","CLE","23.0%","64.6%","43.4%","59.7%","87.9%","80.3%","49.1%","57.3%","8.5%","18.2%","26.7%"
"2002","MON","23.1%","70.6%","47.1%","56.4%","84.1%","77.4%","50.5%","57.8%","10.6%","15.7%","26.2%"
"2003","SDP","23.1%","69.6%","46.6%","52.2%","86.8%","78.4%","50.6%","59.0%","10.1%","16.4%","26.5%"
"2005","TBD","23.1%","69.9%","48.3%","52.6%","88.3%","80.4%","53.8%","60.5%","9.4%","16.3%","25.7%"
"2004","MON","23.1%","66.1%","44.1%","72.0%","85.8%","82.1%","48.7%","58.0%","7.8%","18.6%","26.4%"
"2005","LAA","23.2%","68.1%","46.9%","61.8%","89.6%","83.1%","52.7%","59.7%","7.8%","16.8%","24.6%"
"2007","PHI","23.2%","64.0%","43.9%","58.3%","88.1%","80.3%","50.6%","56.4%","8.5%","17.6%","26.2%"
"2003","ANA","23.2%","68.8%","47.2%","57.4%","89.4%","81.9%","52.6%","60.0%","8.5%","16.9%","25.4%"
"2008","NYY","23.2%","64.8%","44.5%","62.4%","89.0%","82.3%","51.3%","58.8%","7.9%","17.8%","25.6%"
"2003","PIT","23.2%","68.8%","46.8%","54.4%","88.0%","79.9%","51.7%","59.0%","9.4%","16.6%","25.9%"
"2008","COL","23.2%","66.6%","45.6%","60.1%","85.6%","79.3%","51.6%","59.9%","9.4%","16.6%","26.0%"
"2005","MIL","23.3%","67.7%","45.9%","52.6%","85.8%","77.6%","51.0%","58.6%","10.2%","16.9%","27.1%"
"2009","LAD","23.3%","62.9%","42.6%","66.3%","89.2%","82.8%","48.8%","56.8%","7.2%","18.9%","26.2%"
"2004","ARI","23.3%","67.1%","46.1%","62.2%","86.6%","80.6%","52.0%","58.3%","8.9%","18.0%","26.9%"
"2006","FLA","23.4%","67.1%","46.4%","50.4%","85.4%","77.0%","52.7%","60.8%","10.6%","16.6%","27.2%"
"2005","SEA","23.4%","69.1%","47.0%","58.0%","88.1%","80.8%","51.6%","58.4%","8.9%","16.2%","25.1%"
"2008","TOR","23.4%","64.7%","44.8%","64.1%","90.4%","83.8%","51.8%","58.9%","7.2%","18.1%","25.3%"
"2006","WSN","23.4%","63.4%","43.9%","54.5%","88.5%","79.6%","51.0%","57.7%","8.8%","17.9%","26.8%"
"2007","SDP","23.4%","67.6%","45.8%","52.8%","86.3%","77.9%","50.7%","59.5%","10.1%","16.0%","26.1%"
"2006","STL","23.5%","66.7%","46.1%","59.2%","90.0%","82.5%","52.3%","59.2%","8.0%","16.9%","24.8%"
"2004","KCR","23.5%","68.0%","45.3%","67.9%","85.5%","80.8%","48.9%","57.6%","8.7%","17.7%","26.3%"
"2007","TEX","23.5%","66.2%","45.5%","55.7%","86.6%","78.9%","51.5%","59.6%","9.6%","17.2%","26.8%"
"2006","TOR","23.5%","64.1%","44.7%","63.4%","90.9%","84.0%","52.2%","58.0%","7.1%","18.5%","25.6%"
"2006","PIT","23.5%","65.6%","46.2%","55.0%","87.7%","80.0%","53.8%","60.4%","9.1%","18.0%","27.1%"
"2009","WSN","23.5%","64.1%","43.7%","60.4%","87.0%","79.8%","49.7%","59.3%","8.7%","18.6%","27.3%"
"2007","MIN","23.5%","62.6%","43.9%","64.1%","91.6%","84.5%","52.2%","58.3%","6.8%","19.0%","25.7%"
"2007","HOU","23.6%","68.9%","47.0%","58.2%","88.7%","81.3%","51.7%","60.1%","8.7%","15.6%","24.4%"
"2006","TEX","23.6%","67.3%","46.2%","59.2%","87.7%","80.6%","51.6%","58.4%","8.9%","16.7%","25.6%"
"2009","OAK","23.7%","67.8%","45.7%","62.5%","88.2%","81.5%","49.8%","58.0%","8.4%","17.0%","25.4%"
"2003","STL","23.7%","68.2%","46.1%","58.1%","88.3%","80.6%","50.4%","58.3%","8.9%","16.8%","25.7%"
"2006","SFG","23.7%","67.9%","46.9%","59.1%","90.2%","82.7%","52.3%","59.6%","8.0%","16.1%","24.1%"
"2005","CHW","23.7%","69.4%","48.0%","55.7%","87.9%","80.5%","53.2%","60.6%","9.3%","16.1%","25.4%"
"2003","MIN","23.7%","70.7%","47.7%","49.1%","87.4%","78.1%","51.0%","58.2%","10.5%","15.7%","26.1%"
"2008","ATL","23.9%","66.7%","45.3%","62.0%","88.8%","81.7%","50.1%","58.5%","8.2%","16.1%","24.3%"
"2007","PIT","24.0%","65.9%","46.3%","59.0%","88.0%","81.0%","53.1%","60.9%","8.7%","17.6%","26.4%"
"2009","PHI","24.0%","62.7%","42.9%","60.1%","87.9%","79.9%","48.7%","56.0%","8.5%","19.0%","27.5%"
"2006","CHW","24.1%","68.4%","47.0%","58.6%","88.3%","80.9%","51.6%","58.6%","8.9%","15.9%","24.8%"
"2007","TBD","24.1%","70.2%","47.8%","49.7%","83.9%","75.5%","51.3%","59.8%","11.6%","14.9%","26.5%"
"2006","ATL","24.1%","70.5%","47.7%","53.9%","86.4%","78.3%","50.8%","60.2%","10.3%","14.6%","24.9%"
"2006","MIN","24.1%","63.9%","44.8%","64.7%","90.8%","84.0%","51.9%","58.3%","7.1%","18.4%","25.5%"
"2008","NYM","24.1%","63.2%","43.8%","64.9%","88.5%","82.0%","50.4%","56.8%","7.8%","18.0%","25.7%"
"2006","BAL","24.2%","66.0%","46.0%","63.6%","91.4%","84.4%","52.2%","58.7%","7.1%","17.3%","24.4%"
"2009","SDP","24.2%","65.8%","44.8%","57.2%","87.9%","79.6%","49.6%","58.5%","9.1%","17.3%","26.3%"
"2009","NYM","24.2%","63.0%","43.1%","68.6%","91.2%","84.7%","48.7%","57.6%","6.6%","19.2%","25.7%"
"2003","LAD","24.3%","68.7%","47.7%","53.3%","87.9%","79.6%","52.6%","60.0%","9.8%","16.8%","26.5%"
"2009","ATL","24.3%","66.5%","45.0%","62.1%","87.7%","80.6%","49.1%","57.5%","8.6%","17.0%","25.7%"
"2007","CHW","24.3%","65.5%","45.6%","58.9%","87.0%","79.8%","51.8%","59.1%","9.2%","17.5%","26.6%"
"2005","BAL","24.4%","70.0%","47.7%","59.5%","89.4%","82.0%","51.2%","60.0%","8.6%","15.9%","24.5%"
"2007","WSN","24.4%","63.2%","44.4%","57.0%","88.7%","80.2%","51.5%","58.8%","8.7%","18.5%","27.2%"
"2009","FLA","24.4%","64.7%","43.9%","59.0%","87.1%","79.1%","48.5%","57.9%","9.1%","18.0%","27.0%"
"2007","ATL","24.4%","68.8%","46.9%","58.5%","86.0%","78.9%","50.7%","59.0%","9.8%","15.5%","25.3%"
"2009","BAL","24.5%","67.3%","45.5%","63.6%","89.1%","82.1%","49.1%","57.2%","8.1%","17.2%","25.3%"
"2008","PHI","24.5%","63.5%","44.1%","62.9%","87.9%","81.0%","50.3%","56.8%","8.3%","17.8%","26.1%"
"2007","BAL","24.5%","65.3%","45.7%","63.4%","90.8%","83.8%","52.0%","59.4%","7.4%","17.7%","25.1%"
"2004","PIT","24.5%","69.3%","47.2%","64.0%","83.4%","78.5%","50.7%","60.8%","10.1%","17.1%","27.2%"
"2004","MIN","24.6%","69.1%","46.0%","63.3%","85.9%","79.6%","48.0%","57.3%","9.3%","16.5%","25.8%"
"2008","DET","24.6%","67.1%","46.1%","62.7%","87.2%","80.8%","50.7%","58.2%","8.8%","16.5%","25.3%"
"2008","CHC","24.6%","64.9%","44.9%","58.5%","86.8%","79.1%","50.3%","59.2%","9.3%","17.1%","26.5%"
"2008","FLA","24.6%","64.4%","44.7%","55.8%","85.8%","77.6%","50.4%","57.8%","9.9%","17.4%","27.3%"
"2008","WSN","24.7%","64.0%","44.5%","58.6%","87.3%","79.5%","50.6%","59.1%","9.1%","17.7%","26.9%"
"2006","KCR","24.7%","67.7%","47.0%","59.2%","89.6%","82.0%","51.9%","60.4%","8.4%","16.6%","25.1%"
"2005","KCR","24.7%","67.8%","46.9%","60.6%","87.8%","80.9%","51.5%","61.0%","8.9%","17.7%","26.6%"
"2008","TEX","24.7%","67.1%","45.9%","58.6%","87.2%","79.5%","50.1%","59.1%","9.3%","16.1%","25.5%"
"2009","ARI","24.7%","66.4%","44.9%","58.4%","85.4%","77.7%","48.3%","58.7%","9.9%","17.4%","27.3%"
"2007","DET","24.8%","68.7%","47.6%","60.5%","86.9%","80.3%","51.9%","58.7%","9.3%","16.0%","25.3%"
"2007","CIN","24.8%","67.1%","46.5%","55.5%","88.2%","79.7%","51.3%","59.3%","9.4%","16.3%","25.6%"
"2006","TBD","24.8%","69.4%","48.2%","55.1%","86.5%","78.8%","52.5%","59.8%","10.2%","15.6%","25.7%"
"2008","PIT","24.8%","62.6%","44.2%","66.1%","89.5%","83.1%","51.3%","59.0%","7.4%","18.8%","26.2%"
"2007","LAD","24.9%","65.0%","45.3%","61.9%","90.6%","82.9%","50.9%","59.2%","7.7%","17.2%","24.9%"
"2004","DET","25.0%","70.4%","46.7%","64.7%","84.6%","79.0%","47.9%","59.4%","9.8%","15.7%","25.5%"
"2008","BAL","25.0%","65.8%","45.7%","65.0%","89.6%","83.0%","50.6%","59.2%","7.7%","17.1%","24.8%"
"2008","STL","25.0%","67.7%","46.6%","62.3%","88.5%","81.6%","50.7%","58.2%","8.5%","15.9%","24.4%"
