"Season","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA"
"2021","TOR","5247","3691","90.2","117.4","13.0","352","9.5%","1541","41.8%",".264","",".457","",".337",""
"2020","LAD","2316","1587","90.0","113.1","15.0","164","10.3%","695","43.8%",".256","",".483","",".350",""
"2019","NYY","6245","4190","90.0","120.6","13.4","373","8.9%","1678","40.0%",".267","",".490","",".346",""
"2019","BOS","6475","4454","89.9","115.0","12.9","320","7.2%","1774","39.8%",".269","",".466","",".338",""
"2015","SEA","6131","4281","89.9","119.0","11.0","278","6.5%","1658","38.7%",".249","",".411","",".313",""
"2021","BOS","5386","3675","89.9","118.6","13.6","355","9.7%","1540","41.9%",".261","",".447","",".332",""
"2018","BOS","6302","4425","89.8","117.5","12.4","343","7.8%","1757","39.7%",".268","",".453","",".340",""
"2020","SDP","2231","1520","89.8","115.7","11.7","151","9.9%","639","42.0%",".257","",".466","",".341",""
"2021","NYY","5281","3376","89.7","122.2","12.1","313","9.3%","1410","41.8%",".236","",".398","",".315",""
"2021","MIN","5317","3570","89.7","117.1","12.8","350","9.8%","1459","40.9%",".241","",".420","",".317",""
"2019","MIL","6309","4045","89.7","117.9","12.1","306","7.6%","1555","38.4%",".246","",".438","",".324",""
"2019","MIN","6392","4452","89.7","117.0","14.9","416","9.3%","1762","39.6%",".270","",".494","",".347",""
"2016","WSN","6201","4349","89.6","114.7","12.1","259","6.0%","1574","36.2%",".256","",".426","",".322",""
"2021","HOU","5429","3835","89.6","116.4","14.2","290","7.6%","1560","40.7%",".269","",".441","",".336",""
"2020","TOR","2263","1540","89.5","117.4","11.9","133","8.6%","643","41.8%",".255","",".441","",".329",""
"2020","ATL","2344","1509","89.5","115.6","14.7","156","10.3%","644","42.7%",".268","",".483","",".355",""
"2021","LAD","5482","3580","89.5","113.5","14.7","310","8.7%","1436","40.1%",".240","",".419","",".322",""
"2019","CLE","6124","4179","89.5","114.4","12.9","279","6.7%","1563","37.4%",".250","",".432","",".319",""
"2018","OAK","6255","4248","89.5","115.3","15.0","333","7.8%","1663","39.1%",".252","",".439","",".329",""
"2019","TBR","6285","4177","89.5","116.2","11.2","315","7.5%","1641","39.3%",".254","",".431","",".321",""
"2021","SDP","5312","3565","89.4","119.6","10.5","274","7.7%","1441","40.4%",".241","",".400","",".314",""
"2015","WSN","6117","4190","89.4","116.0","9.3","238","5.7%","1560","37.2%",".251","",".403","",".315",""
"2016","BAL","6089","4253","89.4","117.2","13.6","334","7.9%","1592","37.4%",".256","",".443","",".326",""
"2018","NYY","6271","4163","89.4","121.7","13.5","343","8.2%","1578","37.9%",".249","",".451","",".335",""
"2019","TEX","6204","4025","89.4","115.4","12.5","283","7.0%","1557","38.7%",".248","",".431","",".317",""
"2016","SEA","6227","4361","89.4","116.3","10.8","286","6.6%","1598","36.6%",".259","",".430","",".325",""
"2019","OAK","6269","4266","89.3","114.4","14.2","328","7.7%","1626","38.1%",".249","",".448","",".327",""
"2016","LAD","6164","4260","89.3","118.1","10.8","264","6.2%","1578","37.0%",".249","",".409","",".314",""
"2021","ATL","5279","3472","89.3","117.9","13.5","334","9.6%","1381","39.8%",".242","",".434","",".323",""
"2019","LAD","6281","4237","89.3","114.3","14.5","319","7.5%","1610","38.0%",".257","",".472","",".338",""
"2016","TOR","6233","4184","89.2","115.3","12.5","288","6.9%","1577","37.7%",".248","",".426","",".327",""
"2018","TOR","6076","4132","89.2","115.5","13.8","321","7.8%","1646","39.8%",".244","",".427","",".319",""
"2019","ATL","6302","4156","89.2","115.9","13.2","339","8.2%","1594","38.4%",".258","",".452","",".332",""
"2020","NYY","2210","1449","89.2","121.3","11.8","111","7.7%","566","39.1%",".247","",".447","",".341",""
"2018","LAD","6358","4214","89.2","115.3","14.5","330","7.8%","1549","36.8%",".250","",".442","",".333",""
"2021","CHW","5289","3495","89.2","116.8","10.6","271","7.8%","1363","39.0%",".254","",".419","",".327",""
"2019","NYM","6290","4295","89.1","118.3","11.1","279","6.5%","1615","37.6%",".257","",".442","",".325",""
"2016","BOS","6320","4559","89.1","114.9","11.3","255","5.6%","1609","35.3%",".282","",".461","",".346",""
"2021","KCR","5217","3690","89.1","115.1","12.3","249","6.7%","1420","38.5%",".244","",".390","",".300",""
"2019","CHW","6042","4049","89.1","117.9","10.9","267","6.6%","1511","37.3%",".261","",".414","",".309",""
"2020","MIN","2168","1425","89.1","115.8","15.5","110","7.7%","563","39.5%",".242","",".427","",".319",""
"2016","TBR","6046","4046","89.1","113.7","14.5","286","7.1%","1482","36.6%",".243","",".426","",".315",""
"2020","LAA","2308","1554","89.1","115.5","13.7","108","6.9%","571","36.7%",".248","",".430","",".329",""
"2020","OAK","2201","1400","89.0","115.9","17.1","107","7.6%","517","36.9%",".225","",".396","",".314",""
"2016","ARI","6260","4320","89.0","114.3","9.7","260","6.0%","1499","34.7%",".261","",".432","",".321",""
"2021","OAK","5298","3553","89.0","115.3","13.9","314","8.8%","1399","39.4%",".238","",".408","",".314",""
"2016","DET","6127","4278","88.9","114.7","13.2","314","7.3%","1552","36.3%",".267","",".438","",".330",""
"2021","CLE","5111","3465","88.9","114.9","12.2","268","7.7%","1334","38.5%",".237","",".408","",".308",""
"2018","MIL","6210","4157","88.9","116.3","10.2","292","7.0%","1564","37.6%",".252","",".424","",".322",""
"2019","SDP","6019","3879","88.9","115.9","10.7","260","6.7%","1426","36.8%",".238","",".410","",".305",""
"2021","TBR","5423","3491","88.9","117.5","12.7","295","8.5%","1383","39.6%",".242","",".428","",".322",""
"2019","CHC","6195","4071","88.9","117.6","10.9","311","7.6%","1456","35.8%",".252","",".452","",".330",""
"2018","COL","6178","4223","88.9","118.3","10.0","246","5.8%","1545","36.6%",".256","",".435","",".325",""
"2020","TBR","2261","1382","88.9","114.8","11.2","117","8.5%","537","38.9%",".238","",".425","",".325",""
"2020","CHC","2214","1365","88.9","116.0","11.4","101","7.4%","544","39.9%",".220","",".387","",".309",""
"2020","SFG","2259","1538","88.9","114.6","14.7","128","8.3%","604","39.3%",".263","",".451","",".337",""
"2016","TEX","6089","4363","88.8","117.8","11.4","269","6.2%","1572","36.0%",".262","",".433","",".324",""
"2018","CLE","6300","4477","88.8","114.5","13.9","272","6.1%","1626","36.3%",".259","",".434","",".330",""
"2021","CHC","5202","3300","88.8","116.7","12.0","259","7.8%","1275","38.6%",".231","",".402","",".306",""
"2015","TOR","6231","4456","88.8","116.3","11.4","283","6.4%","1624","36.4%",".269","",".457","",".344",""
"2018","STL","6200","4215","88.8","117.2","12.2","303","7.2%","1528","36.3%",".249","",".409","",".316",""
"2019","PHI","6261","4189","88.8","116.4","13.5","271","6.5%","1521","36.3%",".246","",".427","",".314",""
"2016","STL","6223","4309","88.8","115.5","13.0","302","7.0%","1548","35.9%",".255","",".443","",".329",""
"2015","BAL","6007","4207","88.8","114.9","12.3","250","5.9%","1471","35.0%",".250","",".421","",".315",""
"2016","HOU","6204","4151","88.7","118.2","11.5","279","6.7%","1480","35.7%",".247","",".417","",".317",""
"2018","SEA","6087","4366","88.7","117.0","11.3","249","5.7%","1546","35.4%",".254","",".408","",".313",""
"2019","TOR","6091","4023","88.7","118.9","14.3","292","7.3%","1482","36.8%",".236","",".428","",".310",""
"2015","HOU","6073","4139","88.7","115.1","13.3","255","6.2%","1479","35.7%",".250","",".437","",".325",""
"2020","CHW","2267","1493","88.7","115.8","11.2","142","9.5%","595","39.9%",".261","",".453","",".334",""
"2021","WSN","5262","3575","88.7","116.6","9.6","259","7.2%","1414","39.6%",".256","",".417","",".325",""
"2015","NYM","6145","4299","88.7","115.0","12.6","219","5.1%","1473","34.3%",".244","",".400","",".309",""
"2021","STL","5189","3536","88.7","115.0","13.8","269","7.6%","1323","37.4%",".239","",".396","",".306",""
"2020","TEX","2147","1408","88.6","113.5","12.5","100","7.1%","521","37.0%",".217","",".364","",".283",""
"2015","TEX","6187","4375","88.6","116.0","11.0","220","5.0%","1555","35.5%",".257","",".413","",".321",""
"2019","WSN","6267","4294","88.6","113.5","14.1","292","6.8%","1571","36.6%",".265","",".454","",".336",""
"2016","MIL","6061","3882","88.6","115.6","10.1","227","5.8%","1320","34.0%",".244","",".407","",".315",""
"2018","CHC","6369","4327","88.6","117.1","10.5","251","5.8%","1533","35.4%",".258","",".410","",".321",""
"2021","SFG","5369","3511","88.6","113.2","14.7","318","9.1%","1358","38.7%",".246","",".437","",".327",""
"2021","PHI","5308","3533","88.6","116.3","11.4","261","7.4%","1311","37.1%",".240","",".408","",".314",""
"2015","LAD","6090","4209","88.6","115.5","11.7","231","5.5%","1474","35.0%",".250","",".413","",".322",""
"2020","BOS","2304","1551","88.5","116.7","11.0","123","7.9%","568","36.6%",".265","",".445","",".333",""
"2015","BOS","6237","4565","88.5","116.6","10.6","202","4.4%","1522","33.3%",".265","",".415","",".321",""
"2016","CLE","6155","4329","88.5","114.2","13.2","241","5.6%","1507","34.8%",".262","",".430","",".326",""
"2021","DET","5238","3434","88.5","117.1","13.2","271","7.9%","1325","38.6%",".243","",".405","",".308",""
"2016","COL","6236","4372","88.5","118.0","10.9","250","5.7%","1557","35.6%",".275","",".457","",".339",""
"2015","PIT","6285","4413","88.5","115.6","9.3","228","5.2%","1571","35.6%",".260","",".396","",".313",""
"2019","COL","6288","4253","88.5","114.1","12.5","254","6.0%","1507","35.4%",".265","",".456","",".328",""
"2020","DET","2076","1343","88.5","114.4","12.6","97","7.2%","529","39.4%",".245","",".397","",".303",""
"2018","SDP","6059","4034","88.5","116.9","9.6","207","5.1%","1358","33.7%",".235","",".380","",".294",""
"2015","ARI","6276","4441","88.5","116.5","10.0","212","4.8%","1445","32.5%",".264","",".414","",".319",""
"2018","BAL","6034","4143","88.5","115.9","11.8","260","6.3%","1468","35.4%",".239","",".391","",".299",""
"2016","MIN","6245","4262","88.5","116.4","12.4","241","5.7%","1486","34.9%",".251","",".421","",".317",""
"2016","CHW","6131","4338","88.5","117.1","10.7","190","4.4%","1420","32.7%",".257","",".410","",".314",""
"2016","MIA","6133","4419","88.4","120.1","8.3","200","4.5%","1481","33.5%",".263","",".394","",".309",""
"2021","MIL","5360","3468","88.4","114.9","12.2","265","7.6%","1337","38.6%",".237","",".401","",".313",""
"2017","OAK","6126","4027","88.4","113.5","15.3","289","7.2%","1487","36.9%",".246","",".436","",".323",""
"2020","NYM","2279","1539","88.4","118.4","9.8","116","7.5%","567","36.8%",".272","",".459","",".347",""
"2015","COL","6071","4367","88.4","117.1","10.9","205","4.7%","1443","33.0%",".265","",".432","",".321",""
"2015","DET","6159","4404","88.4","115.6","12.5","241","5.5%","1518","34.5%",".270","",".420","",".324",""
"2016","LAA","6041","4528","88.4","117.1","10.9","220","4.9%","1520","33.6%",".260","",".405","",".314",""
"2021","CIN","5405","3558","88.4","114.1","12.5","304","8.5%","1353","38.0%",".249","",".430","",".328",""
"2021","NYM","5119","3384","88.4","118.4","11.9","248","7.3%","1290","38.1%",".238","",".389","",".307",""
"2018","WSN","6288","4309","88.4","115.1","11.8","275","6.4%","1515","35.2%",".254","",".419","",".325",""
"2016","KCR","6052","4401","88.4","115.6","10.6","210","4.8%","1481","33.7%",".261","",".400","",".307",""
"2019","PIT","6228","4527","88.4","116.2","10.2","231","5.1%","1534","33.9%",".265","",".420","",".313",""
"2019","HOU","6394","4517","88.3","117.9","13.4","287","6.4%","1604","35.5%",".274","",".495","",".355",""
"2016","ATL","6192","4391","88.3","118.5","9.4","196","4.5%","1377","31.4%",".255","",".384","",".304",""
"2015","CLE","6109","4380","88.3","112.1","11.2","191","4.4%","1513","34.5%",".256","",".401","",".315",""
"2021","BAL","5190","3505","88.3","114.6","13.4","277","7.9%","1280","36.5%",".240","",".404","",".307",""
"2016","PHI","5992","4134","88.3","113.6","10.2","192","4.6%","1400","33.9%",".240","",".385","",".296",""
"2019","MIA","6045","4108","88.3","114.7","9.1","218","5.3%","1447","35.2%",".241","",".375","",".288",""
"2018","CHW","6071","3986","88.3","118.4","11.6","258","6.5%","1425","35.8%",".241","",".401","",".304",""
"2015","MIA","5988","4424","88.3","120.3","6.2","176","4.0%","1427","32.3%",".260","",".384","",".302",""
"2018","ARI","6157","4085","88.3","115.1","11.4","266","6.5%","1407","34.4%",".235","",".397","",".306",""
"2018","LAA","6108","4221","88.3","118.0","13.4","293","6.9%","1528","36.2%",".242","",".413","",".313",""
"2015","NYY","6268","4424","88.2","116.5","13.3","213","4.8%","1509","34.1%",".251","",".421","",".323",""
"2020","HOU","2229","1574","88.2","115.0","14.4","90","5.7%","549","34.9%",".240","",".408","",".311",""
"2018","TEX","6163","4036","88.2","117.5","11.9","273","6.8%","1364","33.8%",".240","",".404","",".315",""
"2017","LAD","6191","4098","88.2","116.0","12.2","268","6.5%","1481","36.1%",".249","",".437","",".330",""
"2020","PHI","2223","1486","88.2","114.7","14.1","131","8.8%","559","37.6%",".257","",".439","",".336",""
"2016","NYM","6115","4234","88.2","115.0","14.8","240","5.7%","1431","33.8%",".246","",".417","",".315",""
"2017","BAL","6140","4286","88.2","118.5","11.8","282","6.6%","1579","36.8%",".260","",".435","",".318",""
"2020","CLE","2247","1467","88.2","114.7","12.6","93","6.3%","519","35.4%",".228","",".372","",".303",""
"2018","PIT","6066","4304","88.2","115.6","12.1","237","5.5%","1479","34.4%",".254","",".407","",".312",""
"2018","KCR","6063","4259","88.2","114.1","13.6","260","6.1%","1474","34.6%",".245","",".392","",".303",""
"2018","PHI","6136","3970","88.2","116.6","13.3","242","6.1%","1376","34.7%",".234","",".393","",".307",""
"2020","MIL","2188","1350","88.2","113.3","12.0","107","7.9%","495","36.7%",".223","",".389","",".307",""
"2016","CHC","6335","4244","88.2","114.7","13.3","268","6.3%","1384","32.6%",".256","",".429","",".333",""
"2020","CIN","2123","1317","88.2","113.2","14.3","112","8.5%","486","36.9%",".212","",".403","",".312",""
"2021","MIA","5190","3371","88.1","115.7","10.6","207","6.1%","1249","37.1%",".235","",".372","",".294",""
"2017","WSN","6214","4314","88.1","118.3","11.6","256","5.9%","1562","36.2%",".266","",".449","",".331",""
"2015","MIN","6017","4274","88.1","113.9","11.7","193","4.5%","1393","32.6%",".247","",".399","",".305",""
"2020","PIT","2134","1435","88.1","114.2","10.2","99","6.9%","527","36.7%",".220","",".357","",".279",""
"2019","DET","6039","4005","88.1","114.2","14.1","235","5.9%","1441","36.0%",".240","",".388","",".290",""
"2015","CHC","6200","4041","88.1","116.2","12.8","231","5.7%","1350","33.4%",".244","",".398","",".313",""
"2021","TEX","5146","3513","88.1","115.1","11.2","246","7.0%","1267","36.1%",".230","",".376","",".291",""
"2017","CLE","6234","4427","88.1","114.6","12.6","262","5.9%","1586","35.8%",".263","",".449","",".336",""
"2016","NYY","6058","4353","88.1","115.2","11.3","195","4.5%","1427","32.8%",".252","",".405","",".311",""
"2016","PIT","6261","4285","88.0","113.7","10.4","204","4.8%","1426","33.3%",".257","",".402","",".318",""
"2021","SEA","5222","3363","88.0","114.1","14.1","275","8.2%","1234","36.7%",".224","",".382","",".299",""
"2018","HOU","6146","4323","88.0","114.7","13.5","244","5.6%","1489","34.4%",".255","",".425","",".327",""
"2019","KCR","6080","4160","88.0","115.7","12.3","238","5.7%","1350","32.5%",".247","",".401","",".302",""
"2017","HOU","6271","4605","88.0","114.6","12.3","245","5.3%","1615","35.1%",".282","",".478","",".349",""
"2015","KCR","6116","4683","88.0","113.9","11.4","188","4.0%","1510","32.2%",".269","",".412","",".318",""
"2019","BAL","6189","4221","88.0","114.8","11.7","247","5.9%","1413","33.5%",".246","",".415","",".308",""
"2015","STL","6139","4300","88.0","114.1","10.8","208","4.8%","1409","32.8%",".253","",".394","",".311",""
"2020","ARI","2238","1560","88.0","115.9","12.5","85","5.4%","553","35.4%",".241","",".391","",".306",""
"2018","ATL","6251","4384","88.0","113.9","12.5","207","4.7%","1469","33.5%",".257","",".417","",".319",""
"2015","MIL","6024","4272","88.0","114.9","9.8","178","4.2%","1369","32.0%",".251","",".393","",".304",""
"2019","LAA","6251","4322","88.0","116.6","12.9","275","6.4%","1465","33.9%",".247","",".422","",".316",""
"2017","SEA","6166","4334","88.0","117.7","11.7","251","5.8%","1514","34.9%",".259","",".424","",".321",""
"2019","ARI","6315","4345","88.0","116.3","11.8","272","6.3%","1495","34.4%",".252","",".434","",".319",""
"2017","ARI","6224","4136","88.0","114.8","10.1","236","5.7%","1475","35.7%",".254","",".445","",".329",""
"2015","TBR","6071","4241","87.9","113.2","12.8","206","4.9%","1358","32.0%",".252","",".406","",".313",""
"2019","STL","6167","4110","87.9","115.3","13.7","268","6.5%","1386","33.7%",".245","",".415","",".314",""
"2015","SDP","6019","4226","87.9","115.2","11.3","179","4.2%","1366","32.3%",".243","",".385","",".298",""
"2021","LAA","5214","3551","87.9","119.0","12.5","278","7.8%","1234","34.8%",".247","",".414","",".311",""
"2018","MIN","6154","4255","87.9","114.6","14.3","246","5.8%","1420","33.4%",".250","",".405","",".313",""
"2020","SEA","2181","1399","87.8","112.8","12.7","98","7.0%","502","35.9%",".226","",".370","",".298",""
"2016","OAK","6022","4402","87.8","115.9","12.7","240","5.5%","1439","32.7%",".246","",".395","",".302",""
"2019","SFG","6170","4210","87.8","114.7","13.2","237","5.6%","1481","35.2%",".239","",".392","",".295",""
"2015","LAA","5990","4347","87.8","117.7","11.2","223","5.1%","1338","30.8%",".246","",".396","",".305",""
"2015","CHW","6070","4370","87.8","116.1","8.8","158","3.6%","1369","31.3%",".250","",".380","",".300",""
"2018","NYM","6177","4134","87.8","115.1","14.0","202","4.9%","1351","32.7%",".234","",".389","",".305",""
"2018","TBR","6195","4166","87.7","114.4","10.3","209","5.0%","1378","33.1%",".258","",".406","",".322",""
"2021","COL","5266","3618","87.7","114.7","11.2","240","6.6%","1296","35.8%",".248","",".415","",".315",""
"2017","TEX","6122","4004","87.7","117.3","12.9","279","7.0%","1386","34.6%",".244","",".430","",".321",""
"2020","WSN","2218","1543","87.7","113.3","11.2","98","6.4%","542","35.1%",".264","",".433","",".330",""
"2018","DET","6029","4208","87.6","114.4","13.1","225","5.3%","1394","33.1%",".241","",".380","",".295",""
"2015","SFG","6153","4488","87.6","114.4","9.1","190","4.2%","1396","31.1%",".267","",".406","",".318",""
"2018","SFG","6113","4149","87.6","114.2","11.7","204","4.9%","1375","33.1%",".239","",".368","",".290",""
"2021","ARI","5359","3562","87.6","116.0","12.9","204","5.7%","1258","35.3%",".235","",".381","",".301",""
"2017","MIN","6261","4280","87.6","116.2","13.5","242","5.7%","1428","33.4%",".260","",".434","",".329",""
"2017","NYY","6354","4288","87.6","121.1","12.6","295","6.9%","1440","33.6%",".262","",".447","",".336",""
"2017","DET","6150","4282","87.5","114.2","12.5","273","6.4%","1531","35.8%",".258","",".424","",".321",""
"2018","MIA","6083","4171","87.5","115.5","9.8","206","4.9%","1355","32.5%",".237","",".357","",".289",""
